stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,764.32,23878.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502.28,0,0,0,0,0,0,0,0,0,0,0
  5-6,1360.78,28135.03,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,98.07,30.65,0,0,24.52,815.24,0,0,0,0,0,0,0,0,0,0,0
  7-9,39.43,473.17,0,60.46,0,0,0,2239.66,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,16140.3,152.47,0,0,2652.37,55.2,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,383.93,0,91.26,0,3.15,0,1793.77,0,0,0,0,0,31.47,0,0,0,0,0,6.29,0,0,0,0,0,12213.39,81.82,0,0,1878.74,15.73,6.29,3.15,72.38,0,12.59,28.32,0,0,0,0,0
 14-21,0,0,0,0,90,14,0,163,0,1,0,194,1,2,3,1,2,1,0,0,0,15,0,0,13,8743,17,4,1,77,16,0,27,2,3,44,2934,0,0,1,0,0
 24-34,0,0,0,0.82,40.22,0,0,136.26,0.82,3.28,3.28,238.87,3.28,0,0,1.64,0.82,1.64,0.82,5.75,1.64,36.94,1.64,0.82,23.8,9522.75,7.39,13.13,4.93,0,32.83,0,0,1.64,3.28,16.42,2313.17,0,0,18.06,0,2.46
 36-46,0,0,0,0.81,20.14,1.61,0,130.52,0,0.81,1.61,445.54,0,0,2.42,1.61,0.81,3.22,0,0.81,1.61,29,0,0,11.28,6541.23,3.22,6.45,8.06,0,24.98,0,0,1.61,0.81,0,1828.06,0,0,7.25,0,4.83
 48-58,0,0,0,1.15,23.53,0,0,166.98,0.57,1.15,0.57,700.62,2.3,0,0,1.15,0.57,0.57,1.15,1.15,2.87,32.13,0,0.57,8.61,2834.6,0.57,3.44,2.3,0,21.23,0,0,0,0,0,1051.78,0,0,3.44,0,3.44
 60-70,0,0,0,0,28.46,0,0,82.45,0.98,1.96,0.98,608.54,2.94,0,0,0.98,0.98,0.98,0,0,0,15.7,0,0,1.96,1180.77,0,0,5.89,0,18.65,0,0,0,0,0,264.03,1.96,0,1.96,0,0.98
 72-82,0,0,0.98,0,62.83,5.89,0,131.54,0,1.96,0,759.81,9.82,0,0,0.98,1.96,2.94,0,0,0,26.5,1.96,0,4.91,916.87,0,0,13.74,0,28.47,0,0,0,0,0,89.33,5.89,0,3.93,3.93,0.98
 84-94,0,0,0,0,77.53,2.12,0,144.44,1.06,2.12,2.12,460.92,16.99,0,0,1.06,0,1.06,0,1.06,1.06,20.18,0,3.19,3.19,641.47,0,0,5.31,0,86.03,0,0,0,1.06,0,79.65,19.12,1.06,1.06,3.19,0
 96-106,0,0,2.19,0,135.51,4.37,1.09,121.31,2.19,1.09,0,465.55,13.11,0,0,3.28,2.19,0,1.09,1.09,1.09,26.23,3.28,0,8.74,595.6,0,0,2.19,0,93.98,1.09,0,2.19,0,0,43.71,29.51,0,0,0,1.09
108-118,0,0,0.77,0,143.24,1.53,0.77,42.89,0.77,8.43,0.77,422.81,21.45,0,0,3.83,11.49,0.77,0,1.53,0,19.92,0.77,0.77,4.6,703.92,0.77,4.6,5.36,0,158.55,0,0,0,0,0,26.04,53.62,0,0.77,0,0.77
120,1.96,0,0,0,88.19,9.8,0,80.35,0,1.96,0,435.07,21.56,0,0,1.96,1.96,1.96,0,1.96,0,9.8,0,0,5.88,599.69,0,1.96,3.92,0,47.03,0,0,0,0,0,19.6,21.56,0,3.92,0,0
