stage,eye,fast_muscle,glial,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,1,0,1,0,0
 24-34,0,0,0,0,0,0,7.39,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,21.75,0,0,0,8.86,0,0
 48-58,2.3,0,0.57,0.57,0,0.57,25.25,0,0,0,1.72,0,0.57
 60-70,8.83,0,0,0,0.98,0,51.04,0,0,0,3.93,0,0
 72-82,6.87,0,1.96,0.98,0,0.98,56.94,0.98,0,0,0.98,0,0
 84-94,6.37,1.06,0,0,0,0,27.61,0,0,0,2.12,0,0
 96-106,1.09,0,0,0,0,0,20.76,0,0,0,0,0,0
108-118,3.06,0,0,1.53,0,0.77,29.11,0,0,0.77,2.3,0,0
120,3.92,0,0,0,0,0,29.4,0,0,0,0,1.96,0
