stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,3,0,0,0,0,0,0,0,0,25,0,0,0,0,0
 24-34,0,0,0,4.1,0.82,0,3.28,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,806.08,0,20.52,0.82,0,0,0.82,0,0,0,0.82,95.22,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0.81,7.25,0,0,3.22,1803.89,0.81,11.28,0,0,0,4.83,0,0,0.81,0,190.14,0,0,2.42,0,0
 48-58,0,0,0,6.89,0.57,0,65.99,1.15,1.15,1.15,17.21,0,0,0,0.57,1.72,0.57,1.15,0,0,22.38,1.72,0.57,5.74,2136.28,0.57,4.59,0,0,0,1.72,0,0,0.57,0,207.14,0,0,0.57,0,1.72
 60-70,0,0,0,4.91,1.96,0,76.56,0.98,0,0.98,11.78,0,0,0,0,0,0.98,0,0.98,0,21.59,0.98,2.94,2.94,2818.93,0,9.82,0.98,0,0.98,3.93,0,0.98,0,0,216.92,0,2.94,5.89,0,2.94
 72-82,0,0,0,19.63,3.93,0,127.62,0.98,0,1.96,36.32,0.98,0,0,3.93,0.98,0.98,0.98,0,0.98,32.39,0,0.98,1.96,2567.05,0.98,5.89,0,0,0.98,2.94,0.98,0,0,0,106.02,3.93,0.98,3.93,0,2.94
 84-94,0,0,0,36.11,1.06,0,182.67,1.06,2.12,0,33.99,0,0,1.06,2.12,0,2.12,0,0,0,33.99,2.12,1.06,6.37,1382.77,0,4.25,3.19,0,0,12.74,0,0,0,0,55.23,9.56,1.06,1.06,1.06,1.06
 96-106,0,0,1.09,29.51,2.19,1.09,91.8,0,1.09,1.09,34.97,3.28,0,2.19,2.19,0,4.37,1.09,4.37,0,20.76,1.09,2.19,4.37,1150.77,1.09,5.46,2.19,0,0,9.84,0,1.09,1.09,0,19.67,29.51,0,2.19,1.09,2.19
108-118,0,0,0,16.09,3.06,1.53,54.38,0.77,1.53,0,8.43,3.06,0,0,2.3,0.77,0.77,0,3.06,0,20.68,0.77,0.77,3.06,1233.97,0,6.13,0.77,0,0,4.6,0,1.53,0,0,14.55,39.83,1.53,1.53,0,1.53
120,0,0,0,21.56,7.84,0,84.27,0,0,0,19.6,0,0,0,5.88,0,0,1.96,3.92,0,13.72,1.96,0,0,1450.24,1.96,0,1.96,0,0,3.92,0,0,0,0,29.4,11.76,1.96,3.92,0,0
