stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,immune,liver,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,0,251.32,6.13,0,0,0,0,6.13,0,0,0,24.52,12.26,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,28.92,5.26,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,3.15,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,9.03,0,0,0,0,0,1.64
 36-46,0,0,0,0.81,1.61,0,0,0,0,0,0,6.45,0,0,0,0,0,0
 48-58,0,0,0,1.15,1.72,0,0,0,0,0,0,5.74,0,0,0,0,0,1.15
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,2.94,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,0,0,0,0.98,2.94,0,0,0,0,0,0
 84-94,0,0,0,0,6.37,1.06,0,0,1.06,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,1.53,0,0,0,0,3.83,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,5.88,0,0,0,0,0,0
