stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,251.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,28.92,0,0,0,21.03,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,4,0,0,2,0,0,1,0,0,0,0,0,0,2,3,0,0,21,0,0,1,4,0,0,4,0,3,16,0,0,1,0
 24-34,0,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0,0,0,3.28,0,0.82,32.01,0,0,0,0,0,0,0,0,0,52.53,0,0,1.64,0
 36-46,0,0,0.81,0,0.81,0,0,33.03,0,0.81,0.81,0,0,0,0,0,0,0,4.03,0.81,2.42,29.81,0.81,0,0.81,0,0,1.61,0,0,0,94.26,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,64.84,0,0,3.44,0,0,0.57,0,0,0,0,5.74,0,0.57,26.97,1.15,0,0,0,0,0,0,0,0,117.63,0,0,0,0.57
 60-70,0,0,0.98,0,0,0,0,42.21,0,0,0.98,0.98,0,0,0,0,0,0,0.98,0,0.98,22.58,0,0,0,0,0,0,0,0,0,112.88,0.98,0,0,0
 72-82,0,0,2.94,0,2.94,0.98,0,29.45,0,0,3.93,0.98,0,0,0,0,0,0.98,8.83,0,0,31.41,0,0,0,0,0.98,0,0,0,0,80.5,15.71,0,0,0
 84-94,0,0,9.56,0,4.25,0,0,22.3,0,0,4.25,3.19,0,0,2.12,0,1.06,7.43,7.43,1.06,2.12,29.74,0,0,0,0,0,3.19,0,0,0,41.42,79.65,1.06,0,1.06
 96-106,0,0,6.56,0,9.84,1.09,1.09,15.3,2.19,2.19,5.46,12.02,0,0,2.19,1.09,0,1.09,9.84,0,3.28,15.3,0,0,0,0,0,2.19,0,1.09,0,25.14,163.93,0,0,0
108-118,0,0,5.36,0,4.6,0,0,24.51,0.77,0,8.43,7.66,0,0,0.77,0,0.77,3.83,2.3,0,2.3,19.15,0.77,0.77,0,0,0,0.77,0,3.06,0,22.98,180.77,0,0,0
120,0,0,9.8,0,3.92,1.96,0,15.68,0,0,1.96,5.88,0,1.96,0,0,0,3.92,7.84,0,1.96,35.28,0,0,0,0,0,0,0,0,0,37.24,41.16,0,0,1.96
