stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,24.52,459.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,10.51,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,107.78,5.26,0,0,49.95,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,9.44,0,0,15.73,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,3,0,0,2,0,0,0,0,7,0,5,16,0,0,0,0,0,0,4,1,0,4,8,0,1,0
 24-34,0,0,0.82,1.64,1.64,0.82,0,0,0,0,0,0,0.82,13.13,0,1.64,19.7,0,0,0,0,0,0,0,0.82,0,2.46,8.21,0,1.64,0
 36-46,0,0,0,0.81,0,0.81,0,0.81,0.81,0,0,0.81,0,3.22,0,0,6.45,0,0,0,0,0,0,0,0,0,0,3.22,0,0.81,0
 48-58,0,0,0,0,0,1.15,0.57,1.72,0,0,0,0,0,9.75,0.57,0.57,2.87,0,0,0,0,0,0,0,0,0.57,0,1.72,0.57,2.3,0
 60-70,0,0,0,1.96,0,1.96,0,0,0.98,0,0,0,0.98,4.91,0.98,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,2.94,0.98,0,0,3.93,0,0,0,2.94,6.87,0,0,4.91,0,0.98,0,0,0,0,0,0,0,0,0,0.98,3.93,0
 84-94,0,0,0,1.06,1.06,0,0,1.06,2.12,0,0,0,5.31,5.31,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,3.19,1.06
 96-106,0,0,0,0,0,1.09,0,1.09,1.09,1.09,0,0,3.28,4.37,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0.77,0.77,0,0,0.77,0.77,0,0.77,5.36,5.36,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0
120,0,0,0,1.96,3.92,0,0,0,0,0,0,0,7.84,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
