stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,289.91,4783.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0
  5-6,245.19,1820.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,6.13,0,0,6.13,0,49.04,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,0,57.83,0,0,47.32,0,0,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,515.23,44.69,0,0,194.52,0,0,23.66,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,122.73,0,31.47,135.32,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,2448.34,62.94,0,0,742.68,0,0,25.18,0,53.5,0,15.73,0,0,0,0,0
 14-21,0,0,0,19,402,84,122,0,0,0,15,16,2,6,0,9,0,0,1,1,136,0,0,93,1235,31,0,29,83,0,0,8,142,1,1,156,314,0,33,0,2
 24-34,0.82,0,0,6.57,63.21,9.85,197.01,0,1.64,6.57,54.18,1.64,0,10.67,0,0.82,0.82,6.57,7.39,2.46,320.13,0.82,0.82,104.25,1365.9,45.15,0,18.88,0,0,3.28,0,0.82,0,0.82,44.33,434.23,0,186.33,0,4.1
 36-46,0,0,0,0.81,16.92,1.61,140.99,0,1.61,13.7,74.93,3.22,0,12.09,0.81,0.81,2.42,1.61,0,0,335.16,1.61,2.42,66.06,655.81,37.06,2.42,12.09,0,0.81,0.81,2.42,0.81,0.81,0,0,286.82,0,122.46,0.81,3.22
 48-58,0,0,0,0,8.61,0.57,82.63,0.57,0,15.49,72.3,0.57,0,14.92,0,0,2.3,1.72,1.72,0.57,368.38,0,6.89,45.9,192.8,12.62,0,6.31,0,0.57,1.15,0.57,0,2.3,0,0,105.58,1.72,117.63,1.15,2.87
 60-70,0.98,0,0,0,4.91,0,48.09,0,0,11.78,67.73,0.98,0,17.67,0.98,0,11.78,0,2.94,0,464.26,0.98,7.85,26.5,117.78,5.89,0.98,2.94,0,5.89,0.98,0,0,2.94,0,0,41.22,6.87,98.15,1.96,0
 72-82,0,0,1.96,0.98,6.87,2.94,42.21,0,0,9.82,72.64,5.89,0,21.6,1.96,0,1.96,1.96,1.96,0,458.44,0,16.69,28.47,73.62,5.89,1.96,3.93,0,3.93,0,0,0,3.93,0,0,14.72,10.8,207.13,9.82,1.96
 84-94,0,0,0,0,6.37,0,66.91,1.06,2.12,12.74,38.23,4.25,0,9.56,1.06,0,6.37,1.06,1.06,0,326.05,0,9.56,14.87,65.85,9.56,2.12,6.37,0,4.25,1.06,0,0,1.06,0,0,11.68,9.56,178.42,6.37,2.12
 96-106,0,0,1.09,0,9.84,0,40.44,1.09,0,4.37,44.81,8.74,0,18.58,1.09,0,4.37,0,3.28,0,228.4,0,7.65,10.93,50.27,4.37,1.09,12.02,0,6.56,1.09,1.09,0,3.28,0,0,3.28,10.93,226.22,6.56,6.56
108-118,0.77,0,0,1.53,8.43,0,35.23,0.77,1.53,8.43,36,2.3,0,8.43,0.77,0.77,11.49,0,1.53,0,168.51,0,9.19,9.19,52.85,5.36,0.77,9.19,0,6.13,1.53,0,0,1.53,0,0,4.6,7.66,157.79,5.36,3.83
120,0,0,0,1.96,7.84,1.96,17.64,1.96,0,5.88,27.44,7.84,0,13.72,1.96,0,5.88,0,5.88,0,97.99,0,3.92,13.72,52.91,7.84,1.96,5.88,1.96,1.96,1.96,0,0,0,0,0,3.92,7.84,143.06,0,0
