stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,4,61,30,0,5,0,1,0,16,6,1,1,0,3,0,0,0,1,13,0,0,6,67,52,0,5,9,0,44,0,7,9,221,29,121,0,0,78,0,0
 24-34,0,0.82,0.82,47.61,7.39,0,24.63,0,23.8,0,14.78,0.82,0.82,4.1,0,12.31,0,0.82,3.28,17.24,57.46,4.1,0.82,34.48,322.6,8.21,9.85,9.85,0,0,358.71,0,0,75.52,56.64,4.1,145.29,0,0,231.48,0,16.42
 36-46,0,0,0,19.34,0,0,33.03,0.81,22.56,3.22,7.25,3.22,0,2.42,0.81,5.64,0.81,2.42,4.03,104.74,107.15,5.64,1.61,22.56,386.72,6.45,4.83,8.86,0,0,414.11,0,1.61,62.04,16.92,0.81,151.47,0,0.81,116.02,0,65.26
 48-58,0,0,0,17.21,1.15,0,84.35,1.15,23.53,3.44,23.53,0,0.57,2.3,1.72,2.3,5.16,0.57,2.87,104.43,182.47,4.59,0.57,14.35,366.09,4.02,2.3,5.16,0,0,267.39,0.57,0,29.84,1.72,0,74.59,0,0,81.48,0,154.93
 60-70,0.98,0,0,22.58,0,0,128.58,0,36.32,3.93,39.26,1.96,0,2.94,0.98,0.98,10.8,5.89,3.93,69.69,290.53,6.87,0.98,17.67,300.35,2.94,4.91,11.78,0,0.98,263.05,0,0,33.37,0,0,45.15,1.96,5.89,60.85,2.94,163.91
 72-82,0,0.98,0,30.43,1.96,0.98,155.1,0,27.49,8.83,85.4,4.91,0.98,2.94,1.96,5.89,32.39,11.78,2.94,68.72,451.56,6.87,6.87,20.61,333.77,3.93,7.85,28.47,0,0.98,279.77,0,0,47.12,0,0,42.21,2.94,14.72,105.04,11.78,214.98
 84-94,0,1.06,0,58.41,5.31,5.31,110.45,1.06,65.85,3.19,72.22,8.5,0,2.12,3.19,11.68,35.05,15.93,2.12,110.45,321.8,11.68,4.25,26.55,165.68,6.37,7.43,23.36,0,0,772.1,0,0,94.52,2.12,0,18.05,4.25,10.62,95.58,5.31,148.69
 96-106,0,1.09,0,72.13,8.74,2.19,110.38,2.19,67.76,1.09,96.17,5.46,0,0,4.37,14.21,51.36,25.14,7.65,71.04,416.37,19.67,2.19,19.67,178.13,12.02,20.76,52.46,0,3.28,638.22,0,0,90.71,3.28,0,16.39,19.67,18.58,112.56,17.49,165.02
108-118,0,2.3,0.77,76.6,3.83,10.72,81.19,1.53,111.06,3.83,93.45,13.02,0,0.77,3.06,34.47,81.19,16.85,7.66,98.04,376.09,19.15,6.13,12.26,181.53,15.32,16.09,46.72,0,2.3,745.28,0,0,94.21,0.77,0,5.36,21.45,13.79,59.75,14.55,190.72
120,0,0,0,56.83,5.88,9.8,58.79,0,74.47,1.96,76.43,7.84,0,1.96,5.88,9.8,45.08,9.8,9.8,33.32,282.21,7.84,9.8,23.52,213.62,19.6,5.88,41.16,0,3.92,403.72,0,0,62.71,0,0,17.64,7.84,3.92,74.47,7.84,88.19
