stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,2.63,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,141.61,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,427.99,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,8,9,0,2,0,0,2,1,1,0,0,0,0,1,4,0,0,1,573,1,0,0,1,0,1,0,1,16,0,0,0,0,0
 24-34,0,20.52,1.64,0,7.39,0,0,9.03,0,0,0.82,0,0,0,4.93,4.1,0.82,0,3.28,735.49,0,0.82,0,0,0.82,0,0.82,0,46.79,0,0,2.46,0,0
 36-46,0,4.03,2.42,0,9.67,0,0,20.14,0,0,0,0,0,0,0.81,2.42,0,0,1.61,630.84,0.81,1.61,0,0,0.81,0,0,0,33.03,0,0,0,0,0.81
 48-58,0,2.3,3.44,0,22.95,0,0.57,28.12,1.15,0,0,0,0,0,0,11.48,0.57,0.57,0,531.34,0,0,0,0,1.72,0,0,0,13.2,0,0,0,0,0.57
 60-70,0,0,0,0,5.89,0,0,22.58,1.96,0,0,0,0,0,0,1.96,0,0,0.98,377.89,0,0,0,0,0,0,0,0,4.91,0,0,1.96,0.98,0
 72-82,0,0,5.89,0,43.19,0,0,51.05,5.89,0,0,0,0,0,0,9.82,0,0,0.98,390.7,0,0,0.98,0,1.96,0,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,10.62,1.06,47.79,3.19,0,42.48,9.56,0,0,0,0,1.06,0,10.62,0,1.06,1.06,268.7,0,0,3.19,0,0,0,0,0,6.37,2.12,2.12,1.06,1.06,0
 96-106,0,0,10.93,0,37.16,1.09,1.09,44.81,18.58,0,0,1.09,1.09,0,0,5.46,1.09,3.28,0,204.36,2.19,0,0,0,1.09,2.19,0,0,1.09,0,0,1.09,1.09,0
108-118,0,0,3.83,0,7.66,0,0,29.87,6.89,0,0.77,0,0,0,0,10.72,0,0,0.77,293.36,0,2.3,0,0,0.77,1.53,0,0,0,0.77,0,0,0,0.77
120,0,0,1.96,0,19.6,0,0,31.36,5.88,0,0,1.96,0,0,0,5.88,0,0,0,256.73,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
