stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
 24-34,0,0,0.82,0.82,0,3.28,0,0.82,0.82,0,0,1.64,0,0,0,0,9.85,0.82,4.93,11.49,0,0.82,4.93,0,0,0,0,0,0,6.57,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0,5.64,0.81,0.81,20.95,0.81,0,0,0,0,0,0,0,0.81,12.09,0,0,0,0
 48-58,0,0,0,0,0,4.59,0.57,0,0.57,2.3,0,0,0,0,0,0,10.9,0,2.87,44.76,0,0.57,1.72,0,0,0,0,0,0,10.9,0,0,0,0.57
 60-70,0,1.96,0,0,0,8.83,0,0,0.98,7.85,0,0.98,0,0,0,1.96,10.8,0,0.98,84.41,0,0,1.96,0,0,0,0,0,0,20.61,0,0,0,0
 72-82,0,0.98,0,0.98,0,40.25,0,0,0,23.56,0.98,1.96,1.96,0,2.94,0,19.63,2.94,0,137.43,0,0,5.89,0,0,0,0,0,0,17.67,0.98,0,0.98,0
 84-94,0,1.06,0,0,0,24.43,0,0,0,18.05,0,0,0,2.12,0,0,15.93,2.12,1.06,76.47,0,0,4.25,0,0,1.06,0,0,1.06,15.93,0,0,1.06,0
 96-106,0,3.28,0,1.09,1.09,20.76,0,0,0,8.74,0,1.09,0,1.09,10.93,0,16.39,0,2.19,50.27,0,0,10.93,0,3.28,0,1.09,0,0,8.74,0,1.09,0,0
108-118,0,0.77,0,0,0.77,22.21,0,0,0.77,6.89,0,0,0,0,3.83,0.77,6.89,0.77,2.3,81.19,0,0,8.43,0,0,0,0,0.77,0,1.53,0,0,0,0
120,0,0,0,1.96,1.96,13.72,0,0,1.96,5.88,0,0,0,0,5.88,0,3.92,0,0,78.39,0,0,7.84,0,1.96,0,0,0,0,1.96,0,0,0,0
