stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,79.07,1001.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0
  5-6,73.56,1140.11,6.13,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,30.65,0,0,0,30.65,18.39,0,0,0,0,0,0
  7-9,10.51,10.51,13.14,0,0,15.77,0,0,0,15.77,0,0,0,0,0,0,0,0,236.58,2.63,0,0,65.72,2.63,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,0,6,2,0,0,2,4,0,0,0,2,0,0,6,0,1,40,0,0,0,1,3,9,0,3,12,1,0
 24-34,0,0,0,8.21,0.82,4.1,0,2.46,0,0,0.82,0,0,0,1.64,4.93,0.82,0.82,81.26,0.82,0.82,0,0,4.1,0,0,0.82,14.78,2.46,0
 36-46,0,0,0,1.61,0.81,1.61,0,0,0,0,0,0,0,0.81,1.61,4.83,0,0.81,27.39,0.81,0,0,0,4.03,0,0,0,7.25,1.61,0
 48-58,0,0,0,0.57,0,1.15,0,0.57,0.57,0,0,0.57,0.57,0,0,1.15,0,0,13.2,0.57,0.57,0.57,0,0.57,0,0,0,2.87,0,1.15
 60-70,0,0,0,0.98,0,1.96,0.98,0,0,0,0.98,0,0,0,0,0.98,0,0,3.93,0,0,0,0,1.96,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,2.94,0,0.98,0,0,0,0,0,0,0,1.96,0.98,0,5.89,0,0,0,0,0.98,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,0,1.06,1.06,0,0,0,0,1.06,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0,0,0,1.96,0
