stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,26.29,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,31.54,2.63,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,59.79,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,258.05,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,5,2,30,0,0,0,56,0,0,0,1,0,0,0,1,0,2,0,0,1,1034,2,3,0,0,0,0,1,1,0,5,380,0,0,0,0,0
 24-34,0,0,3.28,0.82,4.93,0,61.56,0,0,0,55.82,0,0,0,4.93,0,0.82,0,0.82,2.46,8.21,0,0,2.46,1775.51,21.34,13.95,0.82,0,1.64,0,0,1.64,1.64,0,453.93,0,0,3.28,0,1.64
 36-46,0,0,1.61,0,0,0,189.33,0,0,0,85.4,0,0,0.81,8.06,0,0,0,0,4.83,7.25,0,0.81,3.22,1831.29,14.5,8.86,1.61,0,1.61,0,0,0,0,0,433.45,0,0,0.81,0,2.42
 48-58,0,0,0,0,2.87,0.57,511.26,1.15,0.57,0,142.3,0,0,0,17.79,0,0.57,0,0,3.44,10.9,0,0,1.15,1234.25,13.77,5.74,1.72,0,1.72,0,0,0.57,0,0,288.62,0,0.57,0.57,0,4.02
 60-70,0,0,0,0,3.93,0.98,823.5,0,0.98,0,109.93,0,0,0.98,22.58,0,0,0,0.98,2.94,5.89,0,0.98,1.96,1032.56,4.91,6.87,0.98,0,1.96,0,0,2.94,0,0,132.51,0,2.94,5.89,2.94,0.98
 72-82,0,0,0,0,10.8,2.94,613.54,0,0,0,92.28,2.94,0.98,0,37.3,0,0.98,0,0,0.98,18.65,0,3.93,0.98,787.29,6.87,2.94,4.91,0,0.98,0,0,2.94,0,0,38.28,2.94,0.98,7.85,3.93,4.91
 84-94,0,0,1.06,0,8.5,0,354.72,0,1.06,1.06,55.23,4.25,0,0,74.34,0,3.19,1.06,0,4.25,9.56,0,6.37,2.12,394.02,9.56,8.5,5.31,0,1.06,0,0,0,0,0,24.43,4.25,3.19,9.56,10.62,3.19
 96-106,0,0,0,0,13.11,2.19,225.13,0,1.09,0,51.36,4.37,0,1.09,96.17,2.19,0,4.37,0,2.19,9.84,1.09,2.19,0,287.42,9.84,7.65,5.46,0,2.19,0,0,1.09,0,0,12.02,1.09,0,14.21,18.58,2.19
108-118,0,0,1.53,0,9.96,3.06,209.87,0,0,0.77,33.7,3.06,0,0,81.96,0,0,1.53,0.77,0.77,8.43,1.53,0,0.77,356.17,1.53,5.36,3.06,0,0.77,0,0,3.06,0,0,6.13,3.83,0.77,13.02,6.13,6.13
120,0,0,1.96,0,5.88,1.96,156.78,0,0,1.96,23.52,1.96,0,0,103.87,0,1.96,0,0,1.96,11.76,0,1.96,0,311.61,5.88,9.8,7.84,0,1.96,0,0,5.88,0,0,3.92,1.96,0,5.88,1.96,0
