stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,1,0,0,1,26,0,0,0,0,0
 24-34,0,0,0,2.46,0,1.64,0,0,10.67,0.82,0,0,0,0,0,0,0,0,0,0,0,133.8,0,9.03,0,0,0,3.28,32.01,0,0,0,0,0
 36-46,0,0,0,0,0,4.83,0,0,9.67,0,0,0,0,0,0,0,0,0.81,0,0,0,257.01,0,9.67,0,0,0.81,0.81,52.37,0,0,0,0,0
 48-58,0,0,0,1.15,0,18.94,0,0,24.1,0,0,0,0,0,0,0,0,0,0,0,0,376.99,0,5.16,1.15,0,1.15,0,57.95,0,0,0,0,0.57
 60-70,0,0,0,0.98,0,36.32,0,0.98,15.7,0.98,0,0,0.98,0.98,0,0.98,0.98,5.89,0,0,0,607.56,0,7.85,0.98,0,2.94,2.94,53.98,0,0,0,0,0
 72-82,0,0,0,3.93,0.98,94.24,1.96,0,51.05,1.96,0,0,0,0,0,0,0,23.56,0,1.96,2.94,721.52,0,18.65,2.94,0,0,0,45.16,3.93,0,0,0,1.96
 84-94,0,1.06,0,3.19,2.12,64.78,0,1.06,35.05,1.06,1.06,1.06,0,1.06,2.12,0,0,11.68,0,1.06,0,348.35,0,12.74,0,0,2.12,0,24.43,2.12,1.06,2.12,0,0
 96-106,0,1.09,0,3.28,2.19,45.9,0,0,34.97,0,0,0,0,0,2.19,0,0,18.58,1.09,2.19,1.09,324.58,0,8.74,1.09,0,3.28,1.09,21.86,1.09,0,1.09,2.19,1.09
108-118,0,0,0,3.06,0.77,24.51,0,0.77,29.87,0.77,0,1.53,0,0,0,0.77,0,10.72,0,0,0,404.43,0,13.79,1.53,0,0,1.53,16.09,2.3,0.77,0,0.77,0
120,0,0,0,1.96,0,29.4,0,1.96,19.6,0,0,3.92,0,0,0,0,0,15.68,0,0,1.96,409.6,0,7.84,0,0,0,1.96,11.76,1.96,0,0,0,0
