stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,6,0,0,0,0,0,4,0,0,2,3,0,0,0,0,0
 24-34,0,0,0,2.46,0.82,0.82,0,0,0,0.82,0,0,0,0,0,0,1.64,0,11.49,0,0,3.28,64.85,0.82,0.82,0,0,0,9.85,0,0,2.46,17.24,0,0,4.1,0,0.82
 36-46,0,0,0,5.64,0,12.89,0,1.61,0,1.61,0,0,0,0.81,0,0,0,0.81,12.09,0,0,1.61,53.17,0,0,0,0,0,12.89,0,0,0,23.36,0,0,0.81,0,0.81
 48-58,0,0,0,0.57,0,17.21,0.57,0,0,4.02,0,0.57,0.57,0,0.57,0,0.57,0,17.79,0,0.57,3.44,74.02,1.15,0.57,0,0,0,10.9,0.57,0.57,0,14.92,0,0,0.57,0,1.15
 60-70,0,0,0,4.91,0,32.39,1.96,3.93,0,10.8,0,0,0.98,0,0.98,0,0,0.98,9.82,0,0,3.93,122.69,0,1.96,0,0,0,37.3,0.98,0,0,13.74,0,0,0.98,0,0
 72-82,0,0,0,7.85,0.98,23.56,0,3.93,0,4.91,0.98,0,0.98,0,0.98,0,0,0.98,38.28,0,0,3.93,87.37,0,0,0.98,0,0,51.05,0,0.98,0,11.78,0,0,2.94,0,0
 84-94,0,0,1.06,7.43,0,12.74,0,3.19,1.06,2.12,0,0,1.06,3.19,0,0,1.06,1.06,16.99,1.06,1.06,0,42.48,0,0,2.12,0,0,128.51,1.06,0,0,2.12,0,0,4.25,0,0
 96-106,0,0,0,15.3,0,21.86,0,2.19,0,13.11,1.09,2.19,5.46,4.37,1.09,0,0,1.09,16.39,2.19,1.09,3.28,60.11,0,3.28,1.09,0,2.19,173.76,0,0,0,1.09,0,0,1.09,0,4.37
108-118,0,0,0,15.32,1.53,9.19,0,4.6,0.77,7.66,1.53,0,5.36,3.83,3.06,2.3,0,3.06,16.85,3.06,0,2.3,49.02,0.77,1.53,0.77,0,0,149.36,0,0,0,3.83,1.53,2.3,1.53,0.77,4.6
120,0,0,0,19.6,1.96,15.68,0,0,0,1.96,3.92,3.92,0,1.96,0,0,0,1.96,21.56,3.92,0,3.92,52.91,1.96,0,5.88,0,0,117.59,3.92,1.96,0,0,0,5.88,3.92,0,1.96
