stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,mesenchyme,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,31,0,0,0,0,0,0,0,0,1,0,5,0,0
 24-34,0,104.25,0,0,0,0,0,0,2.46,0,9.85,1.64,18.06,0,0.82
 36-46,0,47.53,0,0,0.81,0.81,0,0,0.81,0,5.64,0,37.87,0,0
 48-58,0,49.35,4.02,0,0,1.15,0,0.57,1.72,0,6.89,0,48.77,0,0
 60-70,0,35.33,2.94,0,0,4.91,0,0,0.98,0,7.85,0,81.47,0,0.98
 72-82,0,36.32,10.8,0.98,0,0.98,0,0,0,0,6.87,0,37.3,0,0
 84-94,0,32.92,4.25,0,0,2.12,0,0,0,0,6.37,0,23.36,1.06,0
 96-106,0,17.49,3.28,0,0,0,0,1.09,2.19,0,10.93,0,13.11,0,0
108-118,0,22.21,4.6,0,0,0,0.77,0,0.77,0.77,4.6,0.77,7.66,0,0
120,1.96,33.32,1.96,0,1.96,0,0,0,1.96,0,7.84,1.96,13.72,0,0
