stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0.82,0,0.82,0,0,1.64,0,0,0,0,0.82,0,0,0
 36-46,0,0,2.42,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0.81,0,0,0
 48-58,0,0,28.12,0,0,0.57,1.72,0.57,0,0,0,2.87,0.57,0,2.3,0,0,0,0,1.72,0,0,0
 60-70,0,0,70.67,0,0.98,1.96,0.98,0.98,0.98,0,0,11.78,0,1.96,9.82,0,0,0,0,0.98,0,0,0
 72-82,0,0,133.51,0.98,1.96,2.94,0,0,0,0,0,29.45,1.96,2.94,10.8,0,0,0.98,0,0,0,0.98,0
 84-94,0,0,269.76,0,2.12,14.87,1.06,0,0,0,0,14.87,4.25,3.19,1.06,1.06,0,0,0,0,0,0,1.06
 96-106,0,0,214.2,0,2.19,6.56,1.09,1.09,1.09,0,1.09,19.67,2.19,2.19,4.37,0,0,0,0,0,1.09,0,1.09
108-118,0,0,207.58,0,0.77,12.26,0,1.53,0,0,0,17.62,0.77,0.77,3.06,0,0,0,0,0,0,0,0
120,0,0,125.43,1.96,0,7.84,0,0,0,0,0,1.96,0,0,7.84,0,0,0,0,0,0,0,0
