stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,251.32,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,7.89,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,128.81,0,0,0,42.06,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,61,0,0,63,11,7,0,0,0,0,0,3,1,2,2,0,0,0,0
 24-34,0,0,0,0.82,4.93,0.82,0.82,0,0,2.46,0.82,0,0,0,0,0.82,0,0.82,0.82,0,375.13,0,0,157.6,20.52,5.75,3.28,1.64,0,0,1.64,0,0,1.64,11.49,0,1.64,0,0
 36-46,0,0,0,0.81,0.81,0,5.64,0.81,0.81,29.81,0.81,0,0,0.81,0,0,1.61,0,0.81,0,634.87,0,2.42,173.22,22.56,7.25,4.03,0.81,0,0.81,0.81,0.81,0.81,0,10.47,0.81,0.81,0,0.81
 48-58,0,0,0,0,2.3,0.57,9.18,0,2.3,64.84,5.16,0.57,0.57,0,0.57,0.57,0,0,0.57,0,840.62,0.57,6.31,125.09,42.46,0.57,0,0.57,0,0.57,0,0,0,0,4.59,1.15,0,1.15,0.57
 60-70,0.98,0,0,0,3.93,0,11.78,0,1.96,63.8,4.91,5.89,0,0,0,0,0,0,0,0,861.78,0.98,18.65,89.32,29.45,0,2.94,0.98,0,10.8,0,0,0,0,4.91,8.83,1.96,9.82,0.98
 72-82,0,0,0,0,4.91,1.96,53.99,0,1.96,94.24,11.78,7.85,0,1.96,0.98,0.98,0,0.98,0,0,1193.7,0.98,19.63,100.13,36.32,0,0,0,0,11.78,0.98,0,0,0,5.89,14.72,1.96,34.36,1.96
 84-94,0,0,0,0,6.37,2.12,71.16,1.06,4.25,73.28,4.25,16.99,0,2.12,1.06,0,5.31,2.12,1.06,0,921.85,0,22.3,65.85,28.68,1.06,2.12,0,0,12.74,3.19,0,0,0,2.12,14.87,1.06,23.36,0
 96-106,0,0,0,0,9.84,8.74,55.74,1.09,6.56,60.11,14.21,9.84,0,2.19,2.19,4.37,1.09,1.09,2.19,1.09,925.64,0,15.3,45.9,61.2,0,1.09,1.09,0,16.39,1.09,0,2.19,0,2.19,6.56,2.19,27.32,0
108-118,0,0,1.53,0,1.53,9.96,27.57,0.77,4.6,55.92,9.19,2.3,0,0.77,1.53,1.53,7.66,0.77,0,0.77,841.03,0,7.66,53.62,42.89,0,2.3,0.77,0,15.32,0,0,1.53,0,0.77,6.13,0,20.68,0
120,0,0,0,0,3.92,25.48,23.52,0,0,39.2,5.88,3.92,0,5.88,1.96,3.92,0,0,5.88,0,680.05,0,5.88,48.99,29.4,0,1.96,1.96,0,13.72,0,0,0,0,1.96,3.92,0,23.52,0
