stage,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,2.46,34.48,0,0,0,0,10.67,0,0,0.82
 36-46,0,0,6.45,0,0,0,0,0,0,1.61,0,0,62.84,0.81,0,0,0,9.67,0,0,0
 48-58,0,0,9.75,0,0,0.57,0,0,0,3.44,0,1.15,48.77,0,0,0,0,8.61,0.57,0,0
 60-70,0,0,21.59,0,0,0,1.96,0,0,8.83,0,2.94,54.97,0,0,0,0.98,7.85,0.98,0,0
 72-82,0,1.96,30.43,0,0,0.98,5.89,0.98,0,15.71,0,0.98,77.55,0,0,0,0,6.87,0.98,0.98,0
 84-94,0,0,9.56,0,0,0,2.12,1.06,0,8.5,1.06,0,29.74,0,0,0,0,4.25,1.06,0,0
 96-106,1.09,1.09,6.56,1.09,0,0,0,0,1.09,7.65,0,0,21.86,0,0,0,0,0,4.37,0,0
108-118,0,0,6.13,0,0.77,0,1.53,0,0,6.13,0.77,2.3,25.28,0,0.77,0,0,0,0.77,0,0
120,0,0,1.96,0,0,0,1.96,0,0,3.92,1.96,0,29.4,0,0,0,0,0,0,0,0
