stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,10.51,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,52.57,28.92,0,189.27,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,15.73,0,69.23,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,9,6,1,0,9,3,5,0,1,6,0,0,0,0
 24-34,0,0,1.64,0,5.75,0.82,0.82,0,0,0,0,0,1.64,0,4.93,0,0.82,1.64,0,4.93,0,0,10.67,9.85,0,0,0,2.46,0,0,1.64,9.03,0,0,2.46,0
 36-46,0,0,2.42,0,2.42,0,0.81,0,0,0.81,0,0,6.45,0,1.61,0,0.81,0.81,0,4.03,0.81,0,2.42,17.72,0,0,0,0.81,0,0,0,3.22,0,0,4.83,0
 48-58,0,0,2.3,0,1.72,0,2.87,0,0.57,0.57,0,0,2.3,0,2.3,0,0,0,3.44,5.16,0,0,2.3,14.92,0,0,0,0.57,0,0,0,5.16,0,0,4.02,0
 60-70,0,0,1.96,0,0.98,0,3.93,0,0,1.96,1.96,0,0,0.98,2.94,0,0,0,8.83,7.85,0,0,2.94,22.58,0,0,0,1.96,0,0,0,4.91,0,0,1.96,0
 72-82,0,0,1.96,0,0.98,0,5.89,0,0,0.98,2.94,0,2.94,1.96,5.89,0,0,0,6.87,9.82,0,1.96,3.93,20.61,0,0,0,0.98,0,0,0,1.96,0,0.98,7.85,0
 84-94,0,0,4.25,0,3.19,1.06,5.31,1.06,0,0,0,0,1.06,8.5,20.18,0,1.06,0,18.05,7.43,0,0,1.06,11.68,0,1.06,0,0,0,0,0,2.12,0,0,11.68,1.06
 96-106,0,0,0,0,2.19,0,5.46,0,0,1.09,3.28,0,0,5.46,13.11,0,0,1.09,12.02,6.56,0,0,3.28,5.46,1.09,0,0,2.19,0,0,0,4.37,0,1.09,8.74,0
108-118,0,0,0,0,2.3,0,4.6,0,0,1.53,3.83,0,2.3,5.36,14.55,3.06,0,0,19.15,3.06,0,0,0.77,5.36,0,0,0,0,0,0,0,1.53,0.77,0,6.13,0.77
120,0,0,1.96,0,1.96,0,5.88,1.96,0,0,1.96,0,3.92,13.72,9.8,0,0,0,7.84,5.88,0,0,1.96,9.8,0,0,0,0,0,0,0,1.96,0,0,13.72,0
