stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,1,0,0,1,1,4,0,0,0,0,0,2,0,1,2,0,0,0
 24-34,0,0,0.82,0,0,2.46,0,0,0,0,0.82,0,4.93,0,0.82,0,0,0,0,0.82,0.82,6.57,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0.81,0.81,15.31,0,1.61,0,0,0,0,0,0,4.03,0,0,0
 48-58,0,0,0,0,0,0.57,0.57,0,0,0,1.15,0,5.16,0.57,1.72,0,0,0,0,0,0,1.15,0,0,0.57
 60-70,0,0,0,0,0,1.96,0,0,0,0.98,3.93,0,6.87,0,1.96,0,0,0,0,0,0,3.93,0,0.98,0
 72-82,0,0.98,0,0,0,6.87,0,0,0,0,3.93,0,8.83,0,4.91,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,2.12,0,0,0,1.06,0,0,0,1.06,1.06,0,5.31,0,2.12,1.06,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,1.09,1.09,1.09,1.09,10.93,3.28,1.09,0,0,2.19,0,2.19,0,5.46,1.09,0,2.19,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0.77,4.6,3.83,0,0,0,1.53,0,7.66,0,3.06,2.3,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,9.8,0,0,1.96,1.96,0,0,0,0,1.96,1.96,0,0,0,0,0,1.96,0,0,0
