stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0
  5-6,24.52,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,18.39,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,0,0,18,0,0
 24-34,0,0,0,0.82,0,24.63,0,0,0,0,0,0,0,2.46,0,0,0,0,0,3.28,0,0,0,20.52,0,0,0,0,0,0,0.82,4.93,0,0,185.51,0,0
 36-46,0,0,0.81,0,0,22.56,0,0,4.03,0,0,0,0.81,0,0,0,5.64,0,0,1.61,0,0,2.42,25.78,0.81,0,0,0,0,0.81,0,6.45,0,0,134.55,0,0.81
 48-58,0,0,2.3,0,0,30.41,0,0,16.07,1.15,0,0,0,1.15,0,0,7.46,0,0.57,10.9,0,0,2.87,20.08,0,0,2.3,0,0,0,0,4.59,0,0,71.15,0,0.57
 60-70,0,0,9.82,0,0,22.58,0,0.98,13.74,0.98,0,0,0,0,0.98,0,13.74,0,0,30.43,0,0.98,2.94,28.46,0,0,1.96,0,0,0.98,0,1.96,0,2.94,34.35,0,0
 72-82,0,0,43.19,0,0,25.52,0,0.98,24.54,3.93,4.91,0,0.98,0.98,1.96,0,29.45,0,0,134.49,0,2.94,3.93,28.47,0,0.98,3.93,0,0,0,0,1.96,0,11.78,35.34,17.67,0.98
 84-94,0,0,81.78,0,0,24.43,1.06,1.06,13.81,4.25,3.19,0,2.12,1.06,7.43,0,50.98,0,0,78.59,0,6.37,0,13.81,0,3.19,6.37,0,0,2.12,0,0,0,10.62,38.23,30.8,0
 96-106,0,0,150.81,1.09,0,44.81,1.09,10.93,12.02,3.28,12.02,0,3.28,5.46,10.93,2.19,74.31,1.09,1.09,113.66,4.37,13.11,2.19,34.97,0,1.09,9.84,0,0,7.65,0,2.19,4.37,13.11,49.18,57.92,0
108-118,0,0,220.6,1.53,0.77,29.11,0,8.43,3.83,0.77,32.17,0,2.3,1.53,7.66,1.53,45.19,0.77,0,96.51,1.53,10.72,2.3,43.66,0,3.83,6.13,0,2.3,8.43,0,0.77,14.55,4.6,39.83,33.7,0
120,0,0,127.39,0,0,25.48,0,1.96,1.96,0,9.8,0,1.96,0,1.96,1.96,13.72,0,0,70.55,1.96,19.6,0,37.24,0,3.92,1.96,0,0,13.72,0,0,3.92,9.8,21.56,52.91,0
