stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,21.03,0,18.4,5.26,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,6.29,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,2,0,0,2,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,4.93,0,1.64,0,0,0,0.82,0.82,0,0,0.82,18.06,0,0,0.82,0,2.46,2.46,0,0.82,13.95,0,1.64,1.64,0,0,304.54,0,0,0,4.1,0,0,0.82,0,0.82
 36-46,0,0,0,0.81,0,2.42,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,2.42,0,0.81,11.28,0,3.22,2.42,0,0,187.72,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,4.02,0,14.35,0.57,0,0.57,0.57,0.57,0,0,0,1.72,0.57,0,0,0,0.57,0,0,0,11.48,0,1.72,0,0,0,146.32,0,0,0,6.31,0,0,0,0,0
 60-70,0,0,0,15.7,0,30.43,0,1.96,0,4.91,0,0,0,0,7.85,1.96,0,0,0,2.94,0.98,0,0,15.7,0,0.98,0,0,1.96,141.34,0,0.98,0,1.96,0,0,0,0,0
 72-82,0,0,0,30.43,0,53.01,0,0.98,0,14.72,0,0.98,0,0,15.71,1.96,0.98,0,0,4.91,1.96,0,0.98,9.82,0,0.98,0,0,0.98,159.03,0,0.98,0,1.96,1.96,0.98,0,0,0
 84-94,0,0,0,32.92,1.06,96.65,0,2.12,0,10.62,0,0,0,0,19.12,4.25,0,0,0,1.06,3.19,1.06,1.06,8.5,0,3.19,1.06,0,0,302.68,0,1.06,1.06,1.06,2.12,1.06,0,1.06,2.12
 96-106,0,0,0,38.25,2.19,130.05,0,3.28,0,9.84,6.56,0,1.09,1.09,30.6,0,0,0,0,4.37,3.28,1.09,0,20.76,0,10.93,0,0,0,362.83,0,0,0,0,1.09,0,0,1.09,0
108-118,0,0,0,35.23,0,143.24,0,3.06,0,9.19,3.06,0,0,0,16.85,0,1.53,0.77,0.77,2.3,2.3,0,2.3,13.02,0,1.53,0.77,0,0,228.26,0,0,0,0.77,0.77,0,0.77,0.77,0.77
120,0,0,0,48.99,0,56.83,0,9.8,0,13.72,3.92,0,0,1.96,15.68,0,0,0,0,0,0,0,0,15.68,0,3.92,1.96,0,0,213.62,0,0,0,0,0,1.96,0,0,0
