stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,1792.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.72,2071.82,0,6.13,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,85.81,6.13,0,0,18.39,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,34.17,28.92,0,73.6,0,0,118.29,0,0,0,0,0,68.35,0,0,0,0,0,0,0,0,0,0,0,956.85,39.43,0,0,431.11,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,47.2,0,6.29,78.67,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,629.39,12.59,0,0,292.67,3.15,3.15,0,12.59,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,4,32,3,22,0,0,0,6,4,0,1,0,0,0,0,0,0,23,0,0,25,251,7,1,3,6,1,0,26,0,1,41,84,0,0,1,0,0
 24-34,0,0.82,0,0.82,6.57,0,28.73,0,0,0.82,3.28,2.46,0,1.64,0,0.82,0.82,0,0.82,0,31.19,0.82,0,13.13,304.54,4.1,1.64,4.93,0,4.93,0,0,1.64,0,1.64,73.88,0,0,9.85,0,0
 36-46,0,0,0,0,1.61,0,53.98,0,0,0,8.86,0,0.81,0,0.81,0,0.81,0,0.81,0,29.81,0,0,10.47,343.22,0.81,1.61,4.03,0,5.64,0,0,0,0,0,70.09,0,0,4.83,0,0
 48-58,0,0,0.57,0,1.72,0,56.23,0,1.15,2.3,13.77,0,0.57,1.15,0.57,1.15,0,0,0,0,32.13,0,2.87,8.03,209.44,0.57,1.72,0.57,0,2.3,0,0,0,0,0,49.35,0,0,2.3,0,0.57
 60-70,0,0,0.98,0,0.98,0,66.74,0,0.98,0,17.67,0,0.98,0,0,0.98,0,0.98,1.96,0,31.41,0.98,2.94,1.96,246.36,0,0.98,0,0,1.96,0,0,0,0,0,17.67,0,0,5.89,0,0
 72-82,0,0,0,0,3.93,0,65.77,0,0.98,1.96,18.65,0,1.96,0,0,2.94,2.94,0.98,0,0,44.17,0,1.96,6.87,150.19,1.96,0.98,0.98,0,0.98,0,0,0,0,0,26.5,0,0.98,4.91,0,0
 84-94,0,0,0,0,6.37,2.12,40.36,0,2.12,1.06,11.68,1.06,0,0,4.25,4.25,1.06,1.06,0,0,25.49,1.06,1.06,4.25,94.52,4.25,1.06,1.06,0,6.37,0,0,0,0,0,10.62,1.06,0,3.19,2.12,0
 96-106,0,0,0,0,7.65,0,32.79,0,2.19,2.19,16.39,3.28,0,3.28,4.37,5.46,0,0,2.19,0,37.16,0,3.28,5.46,61.2,1.09,3.28,1.09,0,9.84,0,0,0,1.09,0,5.46,2.19,1.09,2.19,0,0
108-118,0,0,1.53,0,13.02,0.77,26.04,0,1.53,0,16.09,1.53,0,0,5.36,5.36,0,0,0.77,3.06,22.98,0,2.3,2.3,95.75,1.53,0,2.3,0,6.13,0,0,0.77,0.77,0,4.6,0.77,1.53,0.77,0,0.77
120,0,0,0,0,19.6,3.92,23.52,1.96,5.88,0,15.68,3.92,0,0,3.92,9.8,0,0,0,0,13.72,0,1.96,9.8,80.35,1.96,0,0,0,1.96,0,0,1.96,0,0,3.92,1.96,0,3.92,0,1.96
