stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,869.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,49.04,484.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,23.66,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.09,5.26,0,0,34.17,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,18.88,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,144.76,3.15,0,0,53.5,0,6.29,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,1,0,4,48,1,0,2,1,1,0,10,2,6,11,0,0,0,0
 24-34,0,0,0,0.82,5.75,0.82,0,7.39,0,0,0.82,1.64,0,0,0,0,0.82,0,0.82,0,3.28,0,2.46,58.28,0,0,0,0,0.82,0,0,0,0.82,14.78,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,6.45,0,0,2.42,0,0,0,0.81,0,0,0,0,0,2.42,0,3.22,37.06,0,0,0,0,0.81,0,0,0,0,11.28,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,14.35,0,0.57,2.3,0,0,0,0,0.57,0,0.57,0,1.15,6.31,0,1.15,36.15,1.15,1.15,0.57,0,0,0,0,0,0,11.48,0,0,1.15,0.57
 60-70,0,0,0,0,0.98,0,0,39.26,0,0,3.93,0,0,1.96,0,0,0,0,1.96,0,17.67,0,0.98,49.08,0,0,0.98,0,0,0,0,0,0,6.87,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,22.58,0,0,10.8,0.98,0,0,0,0,0,0,0,0,6.87,0,1.96,38.28,0,0,0,0,0.98,0,0,0,0,8.83,0,1.96,0.98,0
 84-94,0,0,0,0,3.19,1.06,0,15.93,0,1.06,6.37,1.06,0,0,1.06,0,0,0,0,0,14.87,1.06,2.12,30.8,1.06,1.06,3.19,0,6.37,0,0,0,0,1.06,1.06,0,1.06,0
 96-106,0,0,0,0,1.09,0,1.09,20.76,0,0,10.93,2.19,0,0,1.09,0,0,0,1.09,0,10.93,0,1.09,28.41,0,0,3.28,0,12.02,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0.77,0,0,10.72,0.77,0,11.49,0,0,0,0,0,0,0.77,0,0.77,9.96,0,3.06,29.11,0,1.53,0.77,0,0.77,0,0,0,0,4.6,0,0,0.77,0.77
120,0,0,0,0,0,1.96,0,11.76,1.96,1.96,1.96,1.96,0,0,0,0,0,0,0,0,7.84,0,3.92,35.28,0,0,1.96,0,9.8,0,0,0,0,0,0,1.96,0,0
