stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,4,0,0,0,0,1,1,0,1,2,2,0,0,0
 24-34,0,0,0.82,0,0,0,0.82,0,0,0,0.82,0,0,0.82,9.03,0,1.64,0.82,0,1.64,16.42,0,0,0,0,0.82,0,3.28,0,0,5.75,0,0,0
 36-46,0,0,0,2.42,0.81,0,6.45,0.81,0,0.81,0,0,0,0,4.83,0,0,0,0,0,12.89,0,0,0,0,1.61,0,0.81,0.81,0,3.22,0.81,0,0
 48-58,0,0,0,0,0.57,0,1.15,0,0,0.57,0,0,0,0,4.02,0,1.15,0,0.57,0.57,15.49,0,0,0,0,1.15,0,0.57,0,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,0,3.93,0.98,0,1.96,0.98,0,0,0,16.69,0,0.98,0,0,0,9.82,0,0,0,0,2.94,0,0.98,0,0,2.94,0,0,0
 72-82,0,1.96,0,1.96,0,0,11.78,0,0,2.94,1.96,0,0,0,98.17,0,6.87,0.98,0,0,22.58,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,1.06,0,0,0,0,0,10.62,1.06,0,0,1.06,0,0,0,362.15,0,1.06,0,1.06,0,15.93,0,0,0,0,5.31,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,3.28,2.19,0,16.39,1.09,1.09,4.37,7.65,1.09,2.19,0,604.34,1.09,4.37,0,1.09,1.09,78.68,1.09,0,2.19,0,6.56,0,0,0,0,1.09,1.09,0,0
108-118,0,0.77,0,1.53,3.06,2.3,11.49,1.53,0,2.3,2.3,0,1.53,0.77,1301.37,0,5.36,0,0.77,0.77,65.11,0,0,0.77,0,0.77,0,0.77,0,0,0.77,0.77,0.77,0.77
120,0,0,0,7.84,0,0,15.68,0,0,1.96,5.88,0,3.92,0,593.82,0,3.92,0,1.96,0,39.2,0,0,0,0,3.92,0,5.88,0,0,1.96,0,0,0
