stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,1,0,2,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.82,0,0.82,0.82,0,0,0,0,0,0,1.64,0,0,1.64,11.49,0,0.82,0,0,0,4.93,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0.81,4.83,0,0,0,11.28,0,2.42,0,0,0,7.25,0,0,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,1.15,0,0,0,0,0,0,0.57,0,0,1.72,0,0,0.57,8.61,0,0.57,0,0,0,2.87,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,3.93,0.98,0,0,0,1.96,0,0,0,0,0,0,0,0,0,5.89,0,0,0,4.91,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,3.93,0,54.97,14.72,0,0.98,0.98,2.94,0,0,0,0,0,0,0,1.96,0,9.82,0,0,0,52.03,0,0,0,0,0.98,4.91,0,0,2.94,0,1.96,1.96,0,0
 84-94,0,0,0,1.06,133.82,7.43,0,0,0,1.06,0,0,1.06,0,0,0,0,2.12,0,9.56,1.06,1.06,1.06,32.92,0,0,0,0,0,8.5,0,0,1.06,0,0,0,0,0
 96-106,1.09,0,8.74,3.28,283.05,21.86,2.19,0,0,9.84,4.37,0,0,6.56,0,1.09,3.28,8.74,0,16.39,1.09,0,2.19,74.31,0,2.19,0,0,0,21.86,0,1.09,2.19,0,0,3.28,2.19,2.19
108-118,0,0,18.38,13.02,570.64,55.92,1.53,3.83,1.53,19.15,2.3,0,0.77,3.06,4.6,3.06,0.77,5.36,1.53,55.92,1.53,1.53,3.83,122.55,0.77,1.53,0.77,0,1.53,22.98,0,0.77,3.83,0.77,1.53,4.6,1.53,3.06
120,0,0,19.6,7.84,278.29,25.48,0,5.88,0,11.76,1.96,0,0,15.68,1.96,0,0,0,0,23.52,0,0,0,127.39,1.96,0,5.88,0,0,9.8,0,0,0,1.96,0,1.96,3.92,0
