stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,1.64,0,0,2.46,0,0,1.64,0,0,0,0,0,9.85,0,0,0
 36-46,0,0,0.81,0,0,0,0,1.61,0,0,8.06,0.81,0,4.83,0.81,0,0.81,0,0,16.11,0,0,0.81
 48-58,0,0,2.3,1.15,0,0,0,0.57,0.57,0,16.07,0,1.72,5.16,1.15,0,0,0,0,23.53,0,0,0
 60-70,0,0,24.54,4.91,0,0,0,0.98,1.96,0,52.02,5.89,1.96,7.85,0,0,2.94,0,0,8.83,0,0.98,2.94
 72-82,0,0,81.48,3.93,0,4.91,0,0,2.94,0,96.2,10.8,3.93,12.76,0.98,0,2.94,0,0.98,24.54,5.89,0,16.69
 84-94,0,1.06,54.16,12.74,1.06,1.06,0,0,4.25,1.06,61.6,8.5,5.31,7.43,0,0,1.06,1.06,1.06,21.24,6.37,2.12,8.5
 96-106,0,1.09,40.44,8.74,1.09,6.56,0,1.09,6.56,1.09,92.89,5.46,8.74,13.11,0,0,12.02,0,1.09,30.6,6.56,1.09,17.49
108-118,0,0.77,32.94,10.72,0,3.06,0.77,3.83,3.83,1.53,75.83,13.02,3.06,13.02,0,0,7.66,0.77,0.77,10.72,5.36,0,6.13
120,0,0,37.24,5.88,0,5.88,0,1.96,7.84,0,41.16,9.8,5.88,5.88,1.96,1.96,1.96,0,0,3.92,0,0,5.88
