stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,625.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,21.03,10.51,0,0,0,36.8,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,289.16,10.51,0,0,102.52,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,15.73,0,0,0,44.06,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,330.43,9.44,0,0,122.73,0,0,3.15,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,19,7,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,6,88,4,0,2,5,0,0,0,13,1,1,18,28,0,0,1,0,0
 24-34,0,0.82,0,9.85,0.82,0,21.34,0,0,0.82,3.28,0.82,0,0,0,0,0,0,0,0,14.78,0,0,6.57,237.23,4.93,1.64,3.28,0,0.82,0,0,0,0.82,0,4.93,49.25,0,0,2.46,0,0.82
 36-46,0,0,0,6.45,0,0,26.59,0,0,2.42,6.45,0,0,0,0,0,0.81,0.81,0,0,20.95,0,0.81,7.25,327.91,2.42,4.03,2.42,0,0,0.81,0,0,0,0,0.81,61.23,0,0,1.61,0,0
 48-58,0,0,0,3.44,0,0,76.32,1.15,0.57,0.57,22.95,0,0,1.72,0.57,0,0.57,1.72,0,0,29.26,0,0.57,4.02,339.69,1.72,0.57,0.57,0,0.57,1.72,0,0,0,1.15,0,63.12,0,0,2.87,0,2.3
 60-70,0,0,0,2.94,0,0,129.56,0.98,1.96,0.98,38.28,0,0,0.98,0.98,0.98,0.98,0.98,0,0,22.58,0.98,0,3.93,370.03,2.94,0,2.94,0,0.98,0.98,0,0,0,0.98,0,48.09,0,0.98,3.93,0,0.98
 72-82,0,0,0,4.91,0,0,111.91,1.96,1.96,0.98,49.08,2.94,0,0.98,2.94,0.98,0.98,0.98,0,1.96,51.05,0,0.98,7.85,322.97,0.98,3.93,1.96,0,1.96,0.98,0,0,0,0,0,25.52,0,0,4.91,0.98,1.96
 84-94,0,0,0,13.81,2.12,1.06,93.46,0,2.12,4.25,22.3,2.12,0,0,3.19,1.06,2.12,0,0,0,28.68,0,2.12,6.37,155.06,2.12,1.06,4.25,0,0,5.31,0,0,0,0,0,22.3,0,2.12,5.31,0,3.19
 96-106,0,0,0,7.65,2.19,1.09,71.04,0,2.19,0,29.51,4.37,0,2.19,3.28,0,0,2.19,1.09,1.09,32.79,0,3.28,5.46,120.21,1.09,2.19,4.37,1.09,2.19,4.37,0,0,1.09,1.09,0,9.84,1.09,2.19,6.56,5.46,1.09
108-118,0,0,0,12.26,0,3.06,51.32,0,0,0,26.04,3.06,0,0.77,2.3,0,4.6,0.77,0.77,2.3,32.94,0.77,0.77,7.66,162.38,1.53,0.77,2.3,0,0,2.3,0,0,3.06,2.3,0,3.83,0,1.53,3.83,0,0.77
120,0,0,0,19.6,1.96,0,58.79,1.96,1.96,0,25.48,0,0,1.96,1.96,0,0,0,0,1.96,33.32,0,0,3.92,133.27,1.96,1.96,1.96,0,0,3.92,0,0,0,0,0,3.92,0,0,5.88,0,0
