stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,18.4,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,5.75,0,0,0,0,0,0,0.82,0,4.93,0,1.64,40.22,0,0.82,0.82,0,1.64,0,0.82,4.93,0,0.82
 36-46,0,0,0,0.81,0,5.64,0,0,0,0,0,0,0,0,0,0,1.61,16.92,0.81,0.81,0,0,0,0.81,0,2.42,0,0
 48-58,0,0,0,2.87,0,3.44,0.57,0.57,3.44,0.57,0,0,0,0,0.57,0.57,0,9.18,0,0,0,0,0,0,0,3.44,0,0.57
 60-70,0,0,0,1.96,0,4.91,0,0,3.93,0,0,0,0,0,2.94,0,0,12.76,0,0,0,0,1.96,0,0,3.93,0,0
 72-82,0,0,0,0,0,2.94,0,0,1.96,0,0,0.98,0,0,1.96,0.98,0,1.96,0,0,0,0,0,0,0,0.98,1.96,0
 84-94,0,0,0,0,0,2.12,0,1.06,0,0,0,0,0,0,3.19,1.06,1.06,3.19,0,0,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.53,0,0.77,0,0,0.77,0.77,0,0,1.53,0,0,0,0,0,0,0,0,0,0
120,0,0,0,3.92,0,1.96,0,0,0,0,0,0,0,1.96,1.96,0,0,3.92,0,0,1.96,0,1.96,0,0,1.96,0,0
