stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,132.17,0,0,0,12.59,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,31,7,10,0,0,2,1,0,0,0,0,0,0,0,1,40,0,26,245,1,5,2,0,0,0,0,4,8,75,94,0,0,0,0,0
 24-34,0,0,0.82,0,6.57,2.46,26.27,0,0,0,0.82,0,2.46,0.82,0,0.82,0,0,0,64.03,0.82,22.98,619.75,0.82,7.39,0,0,0,0,0,0,0,35.3,193.72,0,0,13.13,0,0
 36-46,0,0,0,0,1.61,1.61,65.26,0,1.61,7.25,0,0,4.83,0,0,0,0,0,0,59.62,1.61,20.95,749.27,0,3.22,0,0,0,0,0.81,0,0,0,215.11,0,0,11.28,0,0
 48-58,0,0,0,0,1.15,0,88.94,0,1.15,21.23,0,0,12.05,0,0,0,0,0,0,51.07,2.87,21.23,517.57,0,1.15,0.57,0,0,0,0,0,0,0,107.3,0,1.15,11.48,0,0.57
 60-70,0,0,0,0,0.98,0,116.8,0,0.98,23.56,0,0,12.76,0.98,0,1.96,0,0,0,71.65,1.96,6.87,491.74,0,2.94,0,0,0.98,0.98,0,0,0,0,64.78,0,6.87,17.67,0.98,0.98
 72-82,0,0,2.94,0,3.93,0.98,61.84,0.98,1.96,21.6,0.98,0,13.74,0,0,0,0,0,0,130.56,3.93,8.83,348.49,0,0,0.98,0,2.94,0,0,0,0,0,25.52,1.96,9.82,46.14,1.96,0
 84-94,0,0,2.12,0,2.12,0,59.47,1.06,2.12,14.87,2.12,0,13.81,0,0,3.19,0,0,0,77.53,5.31,12.74,172.05,0,0,2.12,0,1.06,1.06,0,0,0,0,20.18,0,6.37,35.05,1.06,0
 96-106,0,0,0,0,2.19,1.09,54.64,0,3.28,16.39,0,0,15.3,1.09,0,2.19,0,1.09,0,79.78,2.19,6.56,165.02,0,2.19,1.09,0,2.19,1.09,0,0,0,0,10.93,3.28,15.3,51.36,6.56,0
108-118,0,0,1.53,0,2.3,0,69.7,0,1.53,7.66,3.06,0,9.19,0,0.77,3.06,0,0,0,82.72,1.53,10.72,142.47,0,1.53,0,0,0.77,0,0,0,0,0,5.36,0,8.43,31.4,2.3,0
120,0,0,0,0,5.88,0,52.91,1.96,1.96,17.64,1.96,0,3.92,0,1.96,0,1.96,0,0,66.63,5.88,5.88,139.14,0,0,1.96,0,1.96,0,0,0,0,0,3.92,0,9.8,25.48,0,0
