stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,8.21,0,0.82,0,1.64,1.64,0,0,0,0,0,0,0,1.64,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,4.83,0,1.61,0,4.83,0,0,0.81,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,0.57,0.57,1.15,0,0,0,0,0.57,0,5.16,0,2.87,1.72,0,0,0,0,0,0,0,3.44,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,9.82,0.98,0.98,3.93,0,0.98,0,0,0,0,0.98,1.96,0
 72-82,0.98,0,0,0,0.98,0.98,1.96,0,0,0,1.96,0,0,14.72,0,1.96,3.93,0,0.98,0,0,0,0.98,0.98,9.82,0
 84-94,0,1.06,0,0,3.19,1.06,4.25,0,0,1.06,1.06,0,0,9.56,1.06,1.06,1.06,1.06,3.19,0,0,0,0,0,9.56,2.12
 96-106,1.09,0,0,0,1.09,2.19,4.37,0,0,0,0,0,0,22.95,0,1.09,3.28,0,1.09,0,0,0,0,0,5.46,5.46
108-118,1.53,0.77,0,0.77,0.77,2.3,9.19,2.3,0,0,1.53,1.53,0.77,13.02,0,2.3,6.13,0.77,0,0,0.77,0,0,0,9.19,0
120,0,0,0,0,1.96,1.96,3.92,0,0,0,1.96,0,1.96,13.72,1.96,0,11.76,0,0,0,0,0,0,0,7.84,1.96
