stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,2,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,318,116,2,0,0
 24-34,0,0,0,1.64,0.82,0,14.78,1.64,0,0,0,0.82,1.64,0,17.24,18.88,0,0,0,0,0,0,133.8,116.56,2.46,0,0
 36-46,0,0,0,0,0,0,14.5,0.81,0,0.81,0,0,0.81,0,6.45,8.86,0.81,0,0,0,0,0.81,42.7,9.67,1.61,0,0
 48-58,0,0,0,0,0,0,8.61,0,0,1.72,0,0,1.15,0,3.44,1.72,0,0,0.57,0,0,0,6.89,0,0,0,0
 60-70,0,0,0,0,0,4.91,6.87,0,0,1.96,0,0,0,0,1.96,3.93,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,6.87,0,0,0.98,0.98,9.82,0.98,7.85,2.94,0,0,1.96,0,0.98,1.96,0,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,4.25,0,0,0,1.06,19.12,0,8.5,1.06,1.06,0,2.12,0,1.06,2.12,0,0,0,0,0,0,2.12,0,0,0,0
 96-106,0,8.74,0,0,0,1.09,21.86,1.09,13.11,5.46,0,0,5.46,4.37,4.37,5.46,1.09,1.09,0,0,0,0,2.19,0,1.09,0,1.09
108-118,0,5.36,0,0.77,0,0,25.28,0,6.89,2.3,0,0.77,0,0,3.06,2.3,0,0,0.77,0,0.77,0,0.77,0,0,0,1.53
120,0,1.96,0,0,0,0,29.4,0,3.92,0,0,0,0,0,7.84,1.96,0,0,0,0,0,1.96,1.96,0,0,0,0
