stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,7.89,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,3.15,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,151.05,0,0,0,59.79,0,0,3.15,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,19,6,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,3,96,0,0,1,7,0,0,0,6,1,5,41,0,0,0,0,0
 24-34,0,0,0,0,5.75,0,0,5.75,0,0.82,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0.82,79.62,0,0,0.82,0,0,0,0,0,0,0.82,25.45,0,0,1.64,0,0
 36-46,0,0,0,0,1.61,0,0,16.92,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0,5.64,0,0.81,41.89,0,0,0,0,0,0,0,0,0,0,9.67,0,0,0,0,0
 48-58,0,0,0,0,4.02,0,0,117.06,0,0.57,0,1.72,0.57,0,0.57,0,0,0,0.57,0,0,9.18,0,0,32.13,0,0,1.15,0,0,0,0,0,0,0,2.3,0,0.57,0,0,0
 60-70,0,0,0,0,3.93,0,0,662.53,0,0.98,0,3.93,0,0,0.98,0,0,0,0,0,0,14.72,1.96,0,67.73,0,0,0,0,0,0,0,0,0,0,4.91,0,0,0.98,0.98,0
 72-82,0,0,0,0,8.83,1.96,0,1338.99,0.98,5.89,1.96,50.06,0,0,0,1.96,0,0.98,0.98,0,0.98,28.47,2.94,0,143.32,0,0.98,0.98,0,0.98,0,0,0,0,0,5.89,0.98,0,2.94,0.98,1.96
 84-94,0,0,0,0,22.3,1.06,0,818.83,1.06,5.31,2.12,36.11,1.06,0,1.06,0,0,2.12,0,1.06,0,23.36,1.06,3.19,110.45,0,0,2.12,0,0,3.19,0,0,0,0,4.25,1.06,4.25,0,3.19,2.12
 96-106,0,0,1.09,0,16.39,1.09,1.09,1002.14,0,8.74,0,40.44,2.19,0,2.19,5.46,0,1.09,2.19,1.09,0,34.97,2.19,2.19,108.19,1.09,2.19,3.28,0,1.09,3.28,0,0,1.09,0,2.19,1.09,4.37,3.28,3.28,2.19
108-118,0,0,0,0,17.62,0.77,0,700.09,0,13.02,1.53,29.87,0.77,0,0,2.3,0.77,0,0,0.77,0,25.28,0.77,1.53,94.98,1.53,0.77,2.3,0,0,0.77,0,0,0.77,0,0.77,0,0,1.53,3.06,0.77
120,0,0,0,0,17.64,1.96,0,501.71,0,9.8,0,25.48,0,0,0,0,0,0,0,0,0,15.68,1.96,3.92,96.03,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
