stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,21.03,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,0,0,0,0,0,0,0,50.35,3.15,0,18.88,3.15,0,3.15,0,0,0,0
 14-21,0,3,8,0,1,0,1,1,0,9,1,1,6,1,0,0,0,3,0,1,5,6,1
 24-34,0,0,0,0,0.82,0,0,0,0,18.06,0.82,1.64,6.57,1.64,0,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,7.25,2.42,0,3.22,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,0,0,0,3.44,1.72,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.96,0,0.98,0,0,0,5.89,2.94,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,0,0,0,0,0,3.93,1.96,0.98,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,5.31,1.06,0,1.06,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,1.09,0,0,6.56,0,1.09,0,0,1.09,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,4.6,2.3,0,0.77,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,1.96,1.96,1.96,0,0,0,0,0,1.96,0,0,0,0
