stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,18.4,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,12.59,0,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,6,0,2,3,0,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,7.39,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0,0,0,3.22,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0,0,21.75,0,1.61,0.81,0,0,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,0,9.75,0,0,2.3,0,0,0,0.57,0,0,0,2.3,0,0,0.57,22.38,0.57,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,1.96,0,0,10.8,0,0,0.98,0,0,0.98,0,0,0,0,5.89,0,0,0,15.71,0,0,0,0,0.98,1.96,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,1.06,0,0,3.19,0,1.06,0,0,0,0,1.06,0,0,0,4.25,1.06,1.06,1.06,6.37,0,0,0,0,0,11.68,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,6.56,0,0,2.19,0,0,0,1.09,0,0,0,0,0,0,0,7.65,0,0,0,0,0,8.74,0,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0,0,0.77,0.77,0.77,0,0.77,0,0,0,0,0.77,0,0.77,2.3,0,0,0.77,6.89,0,0,0,0,0,7.66,0,0,0.77,0,0,0.77,0.77,0,0
120,0,0,0,1.96,0,0,3.92,1.96,0,0,1.96,0,0,1.96,1.96,1.96,0,3.92,0,0,0,15.68,0,0,0,0,0,29.4,0,0,0,0,0,0,0,1.96,0
