stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,7,0,0,0,0,1,2,12,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0.82,0.82,0,0,0.82,0.82,0,24.63,0.82,11.49,1.64,0.82,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,3.22,0,0.81,0,1.61,1.61,0,48.34,0,14.5,0,0,0,0,7.25,0,0.81,0
 48-58,0,0,0,0,2.87,0.57,1.15,0,0,0,0,0,0.57,0,1.15,0,33.28,0,6.31,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,5.89,0.98,0.98,0,0,8.83,0,0,0,1.96,0,0.98,64.78,0,9.82,0,0.98,0,0,0.98,0,0.98,0
 72-82,0,0,0.98,0,11.78,0,1.96,0.98,0,15.71,0,0,0,3.93,0.98,0,105.04,0,26.5,0,0,0,0,0.98,0,1.96,0.98
 84-94,0,0,1.06,1.06,4.25,0,0,0,2.12,13.81,0,0,0,1.06,0,0,47.79,0,15.93,0,0,0,0,2.12,0,1.06,0
 96-106,0,1.09,2.19,0,9.84,2.19,0,0,0,32.79,0,0,0,2.19,1.09,1.09,37.16,1.09,22.95,1.09,2.19,0,0,0,0,0,0
108-118,0,1.53,2.3,0,5.36,0,0.77,0,0,30.64,0,0,0,1.53,0,0,67.4,0,19.92,0,0.77,0,0,0.77,0.77,0.77,0
120,0,1.96,1.96,1.96,1.96,3.92,1.96,1.96,0,41.16,1.96,0,0,0,0,0,76.43,1.96,3.92,1.96,0,0,0,0,0,1.96,0
