stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.49,790.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,373.91,1409.82,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.24,67.43,0,0,110.33,0,104.2,0,0,0,0,0,0,0,0,0,0,0
  7-9,68.35,36.8,0,10.51,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,383.79,339.1,0,0,2179.2,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,12.59,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.76,129.03,0,0,563.31,0,0,0,3.15,84.97,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,231,81,16,7,0,1,20,0,0,0,1,0,0,0,21,2,0,21,72,36,21,142,26,0,1,1,81,7,0,15,9,0,0,2,0,0
 24-34,0,0,0,22.98,114.92,0,120.67,33.66,0,1.64,24.63,0,1.64,0,0.82,0,0,3.28,44.33,1.64,0,13.13,72.24,0,27.91,12.31,0,0,1.64,0,0,5.75,0.82,0,16.42,0,0,2.46,0,0
 36-46,0,0,0,3.22,57.2,0,159.52,59.62,0,2.42,26.59,0,2.42,0,0.81,0,0,4.83,28.2,1.61,0,0.81,46.73,0,16.11,10.47,0,0,0,0,0,2.42,0,0,4.83,0,0,0.81,0,0
 48-58,0,0.57,0,1.15,64.84,0,98.69,63.69,0.57,7.46,10.9,0,2.3,0,0,0,0.57,0.57,35,0.57,2.87,0.57,59.1,0,7.46,9.18,0,0.57,0,0,0,1.72,0.57,0,3.44,0,0,0.57,0,0.57
 60-70,0,0,0,0,48.09,0,73.61,85.39,0.98,54.97,1.96,0,4.91,0.98,0.98,0,0.98,0,78.52,0,13.74,2.94,34.35,0,12.76,4.91,0,0,2.94,0,0,0.98,0,0,2.94,0,3.93,0.98,0.98,0
 72-82,0,0,1.96,0,75.59,0,25.52,88.35,0.98,79.51,2.94,0,0.98,0,0.98,0,0,0.98,130.56,0.98,20.61,4.91,47.12,0,21.6,14.72,0,1.96,0,0,0,0,0,0,0.98,0,2.94,0.98,2.94,0.98
 84-94,0,0,4.25,0,100.89,0,49.92,172.05,1.06,59.47,6.37,0,2.12,0,8.5,0,0,0,96.65,0,16.99,7.43,28.68,0,61.6,25.49,0,0,1.06,0,0,3.19,0,0,2.12,3.19,2.12,1.06,3.19,0
 96-106,1.09,0,3.28,0,154.09,0,26.23,159.56,0,77.59,2.19,0,2.19,0,3.28,1.09,1.09,0,98.36,5.46,17.49,4.37,39.34,0,100.54,25.14,0,0,7.65,0,0,0,1.09,0,4.37,0,4.37,0,8.74,0
108-118,0,0,2.3,0,139.41,0,15.32,236.68,1.53,65.87,3.83,0,2.3,0,6.89,0,0,0,129.45,0,26.81,1.53,37.53,0,71.23,16.85,0,1.53,6.89,0,0,1.53,0,0,0.77,4.6,4.6,0,5.36,0
120,1.96,0,0,0,111.71,0,23.52,172.46,0,56.83,3.92,0,5.88,1.96,0,0,1.96,0,90.15,1.96,27.44,1.96,37.24,0,35.28,15.68,0,0,0,0,0,0,0,0,3.92,1.96,5.88,0,5.88,0
