stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,869.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,10.51,0,0,13.14,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,6.29,0,6.29,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,6,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,13,1,0,3,0,0,2,3,0,3,3,0,0,0,0,1
 24-34,0,0,0,0.82,0,0,1.64,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,9.85,0.82,0,0,0,0,0,0,0.82,1.64,6.57,0,0,1.64,0,0
 36-46,0,0,0,0.81,0.81,0,3.22,0,0,0,2.42,0,0,0.81,0,0,0,0,0,0,3.22,0,0,0,16.92,0,2.42,0,0,0,0.81,0,0,0,0.81,0,0,3.22,0,0
 48-58,0,0,0,0,0,0,5.16,0.57,0.57,0,2.3,0,0,0.57,0,0,0.57,0,0,1.15,9.18,0.57,0,1.72,5.74,0.57,1.15,0,0,0,0,0,0,0,0.57,0,0,2.3,0,0
 60-70,0,0,0,0.98,1.96,0,3.93,0,0,0,5.89,0,0,0.98,0.98,0.98,0.98,0,0.98,0.98,12.76,0.98,0,1.96,8.83,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,1.96
 72-82,0,0,0,0.98,7.85,0,10.8,0,0,0.98,15.71,2.94,0,0,0,4.91,1.96,0.98,0,1.96,21.6,1.96,0.98,4.91,12.76,0,1.96,0.98,0,0,0,0,0,0,1.96,0,0.98,4.91,0.98,0
 84-94,0,0,1.06,3.19,2.12,0,6.37,0,0,0,5.31,7.43,1.06,2.12,3.19,7.43,0,1.06,5.31,5.31,13.81,1.06,2.12,4.25,9.56,0,3.19,1.06,0,0,2.12,0,0,0,1.06,1.06,0,8.5,1.06,1.06
 96-106,0,0,0,5.46,32.79,1.09,9.84,1.09,0,2.19,16.39,27.32,0,2.19,5.46,20.76,2.19,1.09,3.28,5.46,26.23,4.37,3.28,5.46,13.11,0,7.65,4.37,0,2.19,3.28,0,0,0,3.28,3.28,1.09,15.3,3.28,2.19
108-118,0,0,0,19.92,13.79,0.77,12.26,0.77,0.77,0.77,19.15,59.75,0,0,6.89,9.96,3.06,0.77,11.49,4.6,19.92,2.3,3.06,2.3,14.55,0,6.13,3.83,0,0.77,0.77,0,1.53,0,1.53,2.3,1.53,12.26,1.53,0.77
120,0,0,0,11.76,15.68,1.96,1.96,0,0,0,17.64,78.39,0,1.96,19.6,7.84,1.96,1.96,1.96,1.96,15.68,3.92,0,0,25.48,0,1.96,0,0,0,11.76,0,1.96,0,0,1.96,0,7.84,3.92,0
