stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.83,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,2.63,76.23,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,28.32,0,0,0,9.44,47.2,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,291,1,2,0,0,0
 24-34,0,0,0,6.57,0,0,1.64,0.82,0,0,0,0,0.82,0,1.64,0,0,0,0,2.46,0,19.7,0.82,0,0.82,0,439.98,0,2.46,0,1.64,0
 36-46,0,0,0,0.81,0,0,1.61,0,0.81,0,0,0,0,0,0.81,0.81,0,0,2.42,1.61,0,6.45,0,0.81,1.61,0,284.4,0,0.81,0,0,0
 48-58,0,0,0,5.74,0,0,2.3,0.57,0,0.57,0,0,0,0,0,0,0,0,1.15,0.57,0,6.89,0,0,4.59,0,201.98,0,1.72,0,0,0.57
 60-70,0,0,0,4.91,0,0,0.98,1.96,0,0,0,0.98,0,0,0.98,0,0,0,0,0.98,0,1.96,0,0,0.98,0,175.69,0,0,0,0,0
 72-82,0,0,0,14.72,0,0,2.94,0.98,0.98,2.94,0.98,0,0,0,0.98,0,0.98,0,0,0.98,0,5.89,0,0,2.94,0,129.58,0,1.96,0.98,0,0
 84-94,0,0,0,31.86,0,0,1.06,5.31,0,0,0,0,0,1.06,2.12,0,3.19,1.06,0,3.19,0,3.19,0,0,0,0,317.55,0,1.06,0,0,0
 96-106,0,0,0,52.46,1.09,1.09,3.28,2.19,0,1.09,1.09,0,0,0,0,0,0,0,2.19,3.28,1.09,5.46,0,2.19,1.09,0,262.28,0,1.09,0,0,0
108-118,0,0,0,45.96,0,1.53,1.53,3.83,0.77,0,1.53,0,0,0,1.53,0,0,0,0,2.3,0.77,3.83,0,0.77,0,0,195.32,0,0,1.53,0,0
120,0,0,0,48.99,0,0,1.96,5.88,0,0,0,0,0,3.92,0,0,0,0,0,5.88,0,9.8,0,1.96,0,0,186.18,0,0,1.96,0,0
