stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0
 24-34,0,0,0,9.03,0,0,0,0,0,0,0,0,6.57,0,0,0,0,4.93,0,0,0,0,0,1.64,0.82,0,0,0,0,0,0
 36-46,0,0,0,21.75,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,6.45,0,0,0,0,0,0,2.42,0,0.81,0,0,0,0.81
 48-58,0,0,0,26.4,0,0,0,1.15,0,0,0,0,0,0,0,0,0,1.15,0,0.57,0,0,0,0,1.72,0,1.15,0,0,0,1.15
 60-70,0,0.98,0,465.24,0,0,0,1.96,0,0,0,0,0,0,2.94,0,0,14.72,0,0.98,0,0,0,0.98,11.78,0,0.98,0,0,0,4.91
 72-82,0,1.96,0.98,988.53,0,0,0.98,7.85,0,0,0,0,0.98,0,16.69,0.98,0,44.17,0,0.98,0,0,0,2.94,8.83,0,0.98,0,0.98,0,4.91
 84-94,0,11.68,1.06,1071.6,0,0,0,3.19,0,0,0,0,1.06,0,13.81,1.06,2.12,24.43,2.12,2.12,0,0,0,1.06,5.31,0,0,1.06,1.06,0,1.06
 96-106,0,9.84,1.09,916.9,3.28,1.09,1.09,3.28,2.19,0,1.09,1.09,0,0,9.84,1.09,0,30.6,0,2.19,3.28,0,0,2.19,18.58,1.09,1.09,1.09,1.09,0,1.09
108-118,0,4.6,3.06,648,0,0,0,4.6,0,0,1.53,0.77,2.3,0.77,11.49,0,0,43.66,0,0.77,0.77,0,0.77,7.66,13.02,0,3.06,0,0,1.53,0.77
120,1.96,5.88,1.96,617.33,3.92,3.92,0,1.96,0,0,0,0,3.92,0,5.88,0,1.96,25.48,1.96,0,1.96,0,0,1.96,1.96,0,1.96,0,0,0,0
