stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,7,0,0,1,0,0,0,1,0,0,0,0,53,0,0,0,0,0,6,0,0,10,0,2,0,0,4,3,2,6,0,0,0,0,0
 24-34,0,0,4.1,0,4.1,0,0,4.93,0,0,0,0,0,0,0,0,154.32,0,1.64,0,0.82,5.75,34.48,0,0.82,45.97,0,15.6,0,0,0.82,0,3.28,14.78,0,0,0,0,0
 36-46,0,0,2.42,0,5.64,0,0,23.36,0,0,0,0,0,0,0,0,49.15,0,1.61,0,0,1.61,6.45,0.81,1.61,42.7,0,15.31,0.81,0,1.61,0,0,8.06,0,0,0,0,0
 48-58,0,0,0.57,0,2.87,0,0,158.94,0,0,0,3.44,0,0.57,0,0,17.21,0,1.72,0.57,0,5.16,3.44,0,1.72,63.69,0,13.2,0,0,0.57,0,0,8.03,0,0,0,0,0.57
 60-70,0,0,1.96,0,4.91,0,0,577.13,0,0,0,6.87,0,0.98,0,0,18.65,0,8.83,0,0,4.91,0,0,1.96,88.34,0,9.82,0,0,0,0,0,14.72,0,0,0,0,0
 72-82,0,0,13.74,0,4.91,0,0,997.37,0.98,0,0.98,17.67,3.93,0,0,0,40.25,0,10.8,0,0,8.83,2.94,0.98,0.98,107,0,10.8,1.96,0,0,0,0,8.83,3.93,0,0,1.96,0.98
 84-94,0,0,6.37,0,12.74,0,0,792.28,1.06,2.12,1.06,13.81,8.5,1.06,0,1.06,80.71,3.19,11.68,0,0,11.68,3.19,0,2.12,66.91,0,4.25,2.12,0,2.12,0,0,5.31,1.06,0,1.06,1.06,1.06
 96-106,0,0,10.93,0,13.11,2.19,1.09,566.09,0,0,0,9.84,9.84,0,1.09,2.19,80.87,1.09,32.79,0,0,6.56,4.37,1.09,1.09,37.16,0,9.84,3.28,0,0,0,0,0,0,2.19,0,0,0
108-118,0.77,0,3.06,0,6.89,0,0,381.45,0,0,0,6.13,9.19,0,0,0.77,44.43,1.53,11.49,0.77,0.77,6.13,1.53,0,0.77,56.68,0,9.19,1.53,0,1.53,0,2.3,3.06,1.53,0,1.53,0,0
120,0,0,0,0,9.8,0,0,260.65,0,1.96,0,1.96,1.96,0,0,0,35.28,1.96,13.72,0,0,1.96,1.96,0,0,37.24,0,7.84,1.96,0,0,0,1.96,1.96,0,0,0,0,0
