stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,28.92,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,249.73,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,25.18,0,3.15,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.16,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,12,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,240,0,0,1,0,0,0,0,1,1,57,0,0,0,0,0
 24-34,0,0,0,2.46,0,120.67,0,0,0.82,7.39,0,0,0,0,0,0,0,0,9.03,0,1.64,1110.62,0,0.82,3.28,0,0,0,0,0,0.82,213.42,0,0,2.46,0,0
 36-46,0,0,0,1.61,0,228.81,0.81,0,0,8.06,0,0,0,0.81,1.61,0,0.81,0,4.83,0,0,1099.74,0.81,0.81,0,0,0,1.61,0,0,0,199,0,0,1.61,0,0
 48-58,0,0,0,7.46,1.72,453.88,0,2.87,1.15,24.1,0,0,0,0,0.57,0,0,0.57,9.75,1.15,1.72,1164.82,1.15,0.57,0,0,0.57,1.72,0,0,0,132.55,0,0,0,0,1.15
 60-70,0,0,0,6.87,0,930.48,0,1.96,0,12.76,0,1.96,0,0.98,0,0.98,0,0,9.82,2.94,0,1205.31,1.96,0.98,0,0,0,6.87,0.98,0,0,119.75,0,0.98,0,0,0.98
 72-82,0,0,0,8.83,1.96,966.94,0.98,0.98,1.96,23.56,0.98,0,0.98,1.96,0.98,1.96,1.96,0,19.63,0,1.96,957.12,0,0.98,0,0,0,2.94,0,0,0,83.44,0,0,3.93,0,0
 84-94,0,0,0,7.43,1.06,661.65,0,1.06,1.06,39.3,1.06,0,0,2.12,2.12,1.06,0,0,28.68,2.12,2.12,399.33,1.06,1.06,1.06,0,0,4.25,0,0,0,33.99,0,0,0,2.12,0
 96-106,0,1.09,0,5.46,2.19,431.67,0,1.09,0,16.39,2.19,0,0,0,0,1.09,0,0,13.11,1.09,2.19,287.42,0,1.09,0,0,0,4.37,0,0,0,14.21,0,0,1.09,1.09,1.09
108-118,0,0,0,9.19,1.53,401.36,0.77,0,0,16.09,0,0,0,0,0.77,0,2.3,0,11.49,1.53,1.53,352.34,0,0.77,0,0,0,3.06,0.77,0,0,13.02,0.77,0,0,3.06,0.77
120,0,0,0,25.48,3.92,689.84,1.96,1.96,1.96,43.12,3.92,0,1.96,0,3.92,0,1.96,0,35.28,7.84,5.88,834.87,1.96,5.88,3.92,0,1.96,11.76,0,0,0,25.48,0,1.96,1.96,0,0
