stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,361.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,5.26,0,0,0,31.54,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,152.47,0,0,0,49.95,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,188.82,3.15,0,0,40.91,0,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,17,3,0,7,0,1,0,1,0,0,0,0,2,0,1,0,0,5,0,0,5,59,1,0,1,2,0,3,24,0,1,17,23,0,0,1,0,1
 24-34,0,0,0.82,5.75,1.64,0,5.75,0,0,0.82,3.28,0,0,0.82,0,1.64,0,0.82,0,1.64,5.75,0.82,0,4.1,59.1,0.82,0,1.64,0,0,4.1,0.82,0,0.82,5.75,18.88,0,0,0.82,0,0.82
 36-46,0,0,0,3.22,0,0,4.03,0,0,1.61,0.81,0,0,0,0,0.81,0,0,0,0,8.06,0.81,0,1.61,21.75,1.61,0.81,0.81,0,0,8.06,0,0.81,0,0,10.47,0,0,1.61,0,0
 48-58,0,0,0,1.72,1.15,0,5.74,0.57,1.15,0,4.59,0.57,0.57,0,0,0.57,0,0,0.57,0.57,9.18,0,0.57,5.16,17.21,0.57,0,1.72,0,0,1.72,0,0,0.57,0,5.16,0,0,0.57,0,1.15
 60-70,0,0,0,4.91,0,0,1.96,0,0,0.98,8.83,0,0,0,0.98,0,0,0.98,0.98,0,6.87,0.98,0.98,0.98,9.82,0.98,0,0.98,0,0,2.94,0,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,2.94,0.98,0,8.83,0,0,1.96,8.83,0,0,0.98,0,0.98,1.96,1.96,0,0,13.74,0.98,0,0.98,6.87,0,0,3.93,0,0.98,2.94,0,0.98,0,0,1.96,0.98,0,0.98,0,1.96
 84-94,0,0,0,6.37,2.12,0,4.25,0,0,0,6.37,0,0,0,0,1.06,0,4.25,0,1.06,12.74,1.06,0,1.06,9.56,0,1.06,2.12,0,0,8.5,0,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,8.74,1.09,0,8.74,0,2.19,2.19,12.02,2.19,0,2.19,1.09,2.19,1.09,0,2.19,0,19.67,1.09,1.09,4.37,12.02,0,1.09,7.65,0,0,15.3,0,2.19,1.09,0,2.19,0,0,4.37,0,3.28
108-118,0,0,0,9.19,0,1.53,6.89,0.77,3.83,1.53,4.6,1.53,0,0.77,0.77,1.53,0.77,1.53,3.06,0,13.02,0,0.77,6.89,12.26,0,0,3.06,0,0,9.19,0,0,0,0,0,0.77,0,0.77,1.53,0.77
120,0,0,1.96,13.72,1.96,0,0,0,3.92,0,7.84,1.96,0,0,1.96,0,1.96,0,1.96,0,5.88,0,1.96,3.92,9.8,0,0,5.88,0,0,35.28,0,1.96,0,0,1.96,0,1.96,1.96,1.96,0
