stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1186.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,576.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,7.89,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,92,5.26,0,0,39.43,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,6.29,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,138.47,3.15,0,0,53.5,3.15,6.29,0,15.73,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,12,9,0,6,0,0,0,0,0,0,1,0,5,0,0,0,0,9,0,0,7,88,2,1,2,4,43,0,8,1,9,35,0,0,4,0,0
 24-34,0,0,0,0,6.57,0,0,32.01,0,0.82,0,2.46,0.82,0,1.64,0,3.28,0,0.82,0,2.46,20.52,2.46,0,12.31,249.54,3.28,7.39,2.46,0,101.79,0,0,0.82,0.82,67.31,0,0,13.13,0,0
 36-46,0,0,0,0,2.42,0.81,0,79.76,0,0.81,0,7.25,0.81,0,0,0,0,1.61,4.03,0,0,13.7,0,0,2.42,194.17,2.42,3.22,1.61,0,99.9,0.81,0,2.42,0,44.31,0,0,7.25,0,3.22
 48-58,0,0,0,0,5.16,0.57,0,91.81,0,0.57,1.72,6.89,0.57,0,2.3,0,0,0,1.15,0,0,28.69,1.15,1.15,5.74,116.48,0.57,1.15,2.3,0,54.51,0,0,0,0,37.3,0,0,4.59,0,0
 60-70,0,0,0,0,11.78,0.98,0,77.54,0,0.98,0,8.83,1.96,0.98,0.98,0,0.98,0.98,5.89,0,0,17.67,0.98,2.94,2.94,125.63,0,0,1.96,0,67.73,0,0,0,0,39.26,0,0,0.98,0,0.98
 72-82,0,0,0,0,15.71,0.98,0,53.01,0,0.98,0.98,11.78,2.94,0,1.96,0.98,0,0.98,6.87,0,0,29.45,0,5.89,2.94,104.06,0,4.91,3.93,0,52.03,0,0,0,0,42.21,2.94,0.98,10.8,0.98,0
 84-94,0,0,0,0,31.86,1.06,1.06,39.3,0,0,1.06,4.25,2.12,0,2.12,1.06,5.31,0,7.43,0,1.06,16.99,3.19,3.19,5.31,60.54,0,2.12,6.37,0,154,0,0,0,0,23.36,3.19,0,6.37,3.19,0
 96-106,0,0,1.09,0,19.67,1.09,1.09,36.06,1.09,1.09,1.09,9.84,5.46,0,2.19,2.19,3.28,1.09,9.84,0,0,13.11,1.09,1.09,2.19,57.92,0,4.37,3.28,0,137.7,0,0,0,0,18.58,3.28,1.09,3.28,4.37,0
108-118,0,0,0,0,28.34,0,0,25.28,0,3.83,0,8.43,2.3,0,0,1.53,3.06,0.77,8.43,2.3,1.53,13.02,0,1.53,2.3,72.77,0,3.06,0.77,0,100.34,0,0,1.53,0,6.89,0.77,0.77,9.19,1.53,0
120,0,0,0,0,9.8,0,0,23.52,0,3.92,0,3.92,1.96,0,0,0,1.96,0,5.88,0,0,11.76,0,0,1.96,84.27,0,5.88,3.92,0,68.59,0,0,0,0,21.56,1.96,1.96,0,3.92,0
