stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,2121.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,1526.28,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,7.89,0,28.92,0,0,0,52.57,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,439,0,0,0,141.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,28.32,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,169.94,3.15,0,0,44.06,3.15,6.29,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,20,2,0,9,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0,4,70,3,0,0,1,3,1,3,1,0,6,32,0,0,2,0,1
 24-34,0,0,0,0.82,9.03,0.82,0,31.19,0,0,0,2.46,0,0,0,0.82,0,0,0,0.82,0,9.85,0.82,0,4.93,96.86,5.75,2.46,0.82,0,2.46,0,0,1.64,0,2.46,31.19,0,0,2.46,0,0
 36-46,0,0,0,0,6.45,0,0,31.42,0.81,0,0,11.28,0,0,0,0,0.81,0,0,0.81,0,15.31,0.81,0,2.42,225.59,8.86,0.81,1.61,0,5.64,0,0.81,0.81,1.61,0,71.7,0,0,3.22,0,0
 48-58,0,0,0,0,2.87,0,0,31.56,0.57,0.57,0,18.36,0.57,0,0,0,0.57,0,0,0.57,0.57,14.92,0.57,0,2.87,85.5,9.75,0,1.72,0,2.3,0,0,1.15,0,0,22.95,0,0,0.57,0,0
 60-70,0,0,0,0,2.94,0,0,26.5,0,0,0,12.76,0,0,0.98,0,0,2.94,0,0,0.98,23.56,0,0,0,45.15,3.93,4.91,0.98,0,4.91,0,0,0,0,0,12.76,0.98,0.98,0,0,0
 72-82,0,0,0.98,0,6.87,1.96,0,49.08,0,0,0,27.49,0.98,0,0,2.94,0.98,1.96,0.98,1.96,0,81.48,0,0.98,0.98,94.24,8.83,1.96,6.87,0,6.87,0,0,0,0,0,13.74,0.98,0.98,5.89,0.98,0.98
 84-94,0,0,0,1.06,11.68,0,0,40.36,0,0,0,18.05,4.25,1.06,0,1.06,4.25,0,0,0,1.06,61.6,1.06,0,2.12,29.74,9.56,3.19,6.37,0,23.36,0,0,3.19,0,0,9.56,2.12,0,1.06,0,0
 96-106,0,0,2.19,0,15.3,0,1.09,36.06,0,1.09,1.09,27.32,0,0,0,1.09,1.09,2.19,1.09,0,0,56.83,2.19,0,4.37,53.55,8.74,0,10.93,0,18.58,0,0,0,0,0,1.09,0,1.09,1.09,0,1.09
108-118,0,0,0,0,8.43,0,8.43,39.06,0,1.53,0.77,17.62,6.89,0,0,0.77,3.06,0.77,0,0.77,0,36.77,0.77,1.53,1.53,42.89,5.36,2.3,6.13,0,8.43,0,0,0,0,0,3.06,0,0,1.53,0.77,0
120,0,0,0,0,7.84,0,0,25.48,0,1.96,0,25.48,7.84,0,0,1.96,3.92,5.88,0,0,0,31.36,0,0,1.96,47.03,5.88,1.96,7.84,0,19.6,0,0,1.96,0,0,7.84,0,0,0,1.96,0
