stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,496,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0
 24-34,0,0,0,7.39,0,0,192.08,0,0.82,0,49.25,0,0,0,0,0,0,0,0,0,4.1,0,0,1.64,1040.85,0,9.03,0,0,0,3.28,0,0.82,0.82,24.63,0,0,0,0,0.82
 36-46,0,0,0,8.86,0.81,0,988.56,0,0,1.61,465.68,0.81,0,0.81,2.42,0,1.61,0.81,0.81,0.81,18.53,0,0.81,3.22,3746.36,1.61,8.06,0.81,0,0,8.06,0.81,0,0,456.81,0,0,0.81,0,1.61
 48-58,0,0,0,18.36,4.02,0,1237.12,3.44,2.3,1.15,968.01,0,0,1.15,1.72,0.57,0.57,3.44,0.57,1.72,52.79,0.57,0.57,18.94,3437.09,1.15,1.72,2.3,0,0,11.48,1.15,1.15,0,938.74,0,0.57,9.18,0,6.89
 60-70,0.98,0,0,4.91,0,0,922.63,2.94,0.98,1.96,956.98,1.96,0,1.96,1.96,0,1.96,2.94,0,0.98,45.15,0,0,4.91,2240.81,1.96,6.87,1.96,0,0,2.94,0.98,0,0,456.41,0,0.98,1.96,0,4.91
 72-82,0,0,0.98,15.71,1.96,0,526.17,0.98,0.98,3.93,1058.23,0.98,0,0.98,0.98,1.96,0.98,1.96,0.98,0.98,56.94,2.94,3.93,3.93,1621.71,0.98,5.89,1.96,0,0,5.89,0,0,0,142.34,0.98,0.98,4.91,0.98,3.93
 84-94,0,0,0,21.24,3.19,0,481.1,2.12,1.06,1.06,700.94,1.06,1.06,3.19,2.12,0,1.06,0,0,1.06,16.99,1.06,3.19,1.06,876.18,2.12,2.12,1.06,0,0,4.25,1.06,1.06,0,131.69,1.06,1.06,2.12,4.25,2.12
 96-106,0,0,0,36.06,5.46,2.19,445.88,2.19,1.09,2.19,745.32,1.09,0,2.19,2.19,2.19,2.19,2.19,4.37,0,39.34,1.09,2.19,5.46,772.64,1.09,8.74,3.28,0,2.19,8.74,0,0,0,53.55,0,2.19,4.37,2.19,1.09
108-118,0,0,0,15.32,1.53,0.77,333.19,0,0.77,0,661.03,2.3,0,0,2.3,0,0.77,0,1.53,0,20.68,0,0,2.3,975.84,0,3.83,0.77,0,0.77,2.3,0.77,0.77,0,22.98,0,0,4.6,0.77,2.3
120,0,0,0,15.68,1.96,1.96,274.37,1.96,1.96,0,701.6,0,0,0,5.88,0,1.96,3.92,1.96,0,17.64,0,1.96,11.76,778.03,0,3.92,3.92,0,0,1.96,0,0,0,9.8,0,1.96,0,1.96,0
