stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,1,14,0,0,0,0,0
 24-34,0,0.82,7.39,0.82,0.82,0,2.46,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,0,132.16,0,2.46,0.82,0,0,0,0,41.04,0,0,0,0,0
 36-46,0,3.22,3.22,0,1.61,0,0.81,0,0.81,0,0,0,0,0,0,0,0,1.61,0,0,0,236.06,0,3.22,0.81,0,1.61,0.81,0,51.56,0,0,0.81,0,0
 48-58,0,0.57,1.72,0,36.72,0,0.57,0,3.44,0.57,0,0,0,0,0.57,0,0,6.89,0,0,0.57,219.19,0,0.57,3.44,0,1.72,0,0,39.02,0,0,0.57,0,1.15
 60-70,0,0.98,4.91,0,250.29,0,0,0.98,20.61,0,0,0,0.98,0,0.98,0,0,17.67,1.96,0,1.96,575.17,0,1.96,4.91,0,5.89,1.96,0,74.6,0,0,0,0,0
 72-82,0,0,5.89,1.96,443.71,0,0,0,49.08,0,0,1.96,1.96,0,2.94,0,0.98,47.12,0.98,0,3.93,582.13,0.98,2.94,8.83,0,1.96,0,0,46.14,1.96,2.94,2.94,0.98,0
 84-94,0,4.25,8.5,0,252.76,0,0,0,39.3,0,0,0,1.06,0,2.12,0,0,23.36,2.12,2.12,2.12,315.43,0,0,6.37,1.06,14.87,3.19,0,27.61,0,1.06,0,0,0
 96-106,0,0,7.65,1.09,239.33,0,0,0,48.09,1.09,0,1.09,2.19,1.09,1.09,1.09,0,28.41,0,2.19,0,283.05,0,3.28,6.56,1.09,2.19,0,0,18.58,1.09,0,0,0,0
108-118,0,1.53,9.96,0,181.53,0,0,0,38.3,0,0,0.77,1.53,0.77,8.43,0,0.77,32.94,1.53,1.53,0,331.66,0.77,2.3,4.6,0,3.83,3.06,0,12.26,0,0,1.53,1.53,0.77
120,0,0,7.84,0,129.35,1.96,0,0,37.24,0,0,0,1.96,0,0,0,1.96,27.44,1.96,1.96,0,346.88,1.96,0,3.92,0,1.96,0,0,17.64,0,0,0,0,0
