stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,44.69,5.26,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.17,0,0,0,15.73,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,13,4,13,0,0,0,2,0,0,1,0,1,0,0,0,0,8,0,12,179,2,1,5,2,0,0,0,3,1,1,7,57,0,0,2,0,0
 24-34,0,0,0,0.82,1.64,0.82,23.8,0,0,0,5.75,0.82,0,0.82,0,0,0,0,0,0,24.63,0.82,5.75,343.12,0,8.21,1.64,0,0,0.82,0,0,0,0,2.46,82.91,0,0,6.57,0,0
 36-46,0,0,0,0,1.61,0,33.03,0.81,0,0,12.09,0,0,0.81,0,0,0.81,0,0,0,27.39,2.42,4.03,483.4,0,13.7,1.61,0,0,0,0,0,0,0,0,107.15,0,0.81,1.61,0,0
 48-58,0,0,0,0,1.72,0,74.02,0,0,0,18.36,0,0,1.15,0,0,0,1.15,0,0,18.36,0,1.72,544.54,0,3.44,0.57,0,0,0.57,0,0,0,0,0,90.66,0,0,3.44,0,0
 60-70,0,0,0,0,2.94,0.98,153.12,0,0,1.96,58.89,0,0.98,0,1.96,0,0,1.96,0,0.98,35.33,0.98,2.94,800.92,1.96,3.93,0,0,0,0,0,0,0,0,0,104.04,0,0.98,3.93,0,0.98
 72-82,0,0,2.94,0,3.93,1.96,260.14,0,0,2.94,71.66,1.96,0,0.98,0,0,0.98,6.87,0,0.98,77.55,2.94,6.87,731.34,0,2.94,1.96,0,0.98,0,0,0,0,0,0,66.75,0,4.91,9.82,0,0.98
 84-94,0,0,2.12,0,9.56,0,149.75,0,0,1.06,33.99,4.25,0,2.12,0,1.06,2.12,2.12,1.06,4.25,55.23,2.12,5.31,397.2,0,7.43,3.19,0,1.06,0,0,0,0,0,0,38.23,0,2.12,1.06,1.06,2.12
 96-106,0,0,2.19,0,7.65,2.19,98.36,0,1.09,0,45.9,2.19,0,0,0,0,1.09,5.46,2.19,0,43.71,4.37,8.74,271.03,0,10.93,4.37,0,0,0,0,0,0,0,0,17.49,2.19,0,8.74,1.09,3.28
108-118,0,0,0.77,0,9.96,0,104.17,0,2.3,0.77,31.4,2.3,0,4.6,1.53,0.77,6.89,1.53,0.77,0.77,49.02,2.3,8.43,369.96,0,6.13,2.3,0,3.06,1.53,0,0,0,0,0,9.19,0.77,0.77,5.36,2.3,6.89
120,1.96,0,0,0,5.88,1.96,74.47,0,3.92,1.96,39.2,1.96,0,1.96,0,0,0,0,0,0,47.03,3.92,9.8,288.09,0,3.92,1.96,0,1.96,0,0,0,0,0,0,9.8,0,0,11.76,0,0
