stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,13,3,0,4,0,1,0,4,1,0,0,0,0,0,2,13,0,0,5,85,1,0,1,0,0,0,4,16,4,42,0,0,1,0,0
 24-34,0,0,0,2.46,3.28,0,0,4.93,0.82,0.82,0,1.64,1.64,0.82,0,0,0,0,0.82,10.67,0,0,2.46,87.01,4.1,0,1.64,0,0,1.64,0,21.34,0.82,69.77,0,0,0,0,0
 36-46,0,0,0,0,11.28,0,0,3.22,2.42,0.81,0,3.22,0,0,0,0,0,0,0,6.45,0,0.81,4.83,96.68,0.81,0,0,0,0,0.81,0,44.31,0,60.43,0,0,0,0,0
 48-58,0,0,0,0,30.41,0,0,14.35,4.59,4.02,0,5.74,0,0.57,0,0,0,0,1.15,16.07,0.57,0,4.02,63.12,0.57,0,0,0.57,0,0,0,86.07,0,49.35,0,0,1.15,0,0.57
 60-70,0,0,0,0,67.73,0,0,14.72,8.83,4.91,0,22.58,0,0,0,0,0,0.98,0,44.17,1.96,2.94,2.94,78.52,0,0,0,0,0.98,0,0,45.15,0,43.19,0,0,0,0,2.94
 72-82,0,0,0.98,0,112.89,0.98,0,22.58,11.78,5.89,0.98,28.47,0,1.96,0,0,0,0,0,76.57,2.94,1.96,1.96,71.66,0,0,0.98,0,0,2.94,0,27.49,0,26.5,0,0.98,0.98,0.98,1.96
 84-94,1.06,0,0,0,352.6,1.06,0,24.43,15.93,24.43,2.12,24.43,0,1.06,0,0,0,3.19,0,77.53,8.5,2.12,6.37,36.11,0,0,4.25,0,1.06,1.06,0,67.97,0,27.61,0,1.06,1.06,2.12,1.06
 96-106,0,0,1.09,0,172.67,0,0,18.58,31.69,12.02,2.19,31.69,1.09,2.19,0,1.09,1.09,0,0,85.24,1.09,3.28,5.46,44.81,0,2.19,2.19,0,1.09,3.28,0,61.2,0,21.86,2.19,0,2.19,2.19,0
108-118,0,0,0,0,153.96,0.77,0.77,17.62,26.81,8.43,3.06,18.38,0,0,1.53,0,0,6.13,0.77,81.19,0,0.77,1.53,36,0,0.77,0.77,0,0,2.3,0,42.89,0,9.96,0,0.77,0.77,0.77,0
120,0,0,0,0,66.63,0,0,9.8,19.6,3.92,0,21.56,0,0,0,0,0,9.8,0,101.91,0,1.96,0,27.44,0,0,0,0,0,0,0,7.84,0,3.92,0,0,0,0,0
