stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4,45,6,30,0,0,0,3,5,1,2,0,2,0,0,0,1,27,0,0,25,363,16,2,10,9,0,6,2,94,1,1,35,121,0,0,2,0,2
 24-34,1.64,0,16.42,2.46,81.26,0,1.64,1.64,4.1,2.46,0,0,0,3.28,0.82,0.82,1.64,0,41.86,0.82,0,22.16,456.4,5.75,4.1,8.21,0,0,15.6,0.82,0.82,2.46,0,5.75,100.14,0,0,11.49,0,1.64
 36-46,0,0,3.22,0.81,126.49,0,0.81,0,23.36,1.61,0,0.81,0,1.61,0.81,0.81,0,0.81,37.87,1.61,0,11.28,455.2,1.61,4.83,4.83,0,0,8.06,0.81,0,0.81,0,0.81,117.63,0,0,4.03,0,1.61
 48-58,0.57,0,4.02,0.57,138.29,0.57,1.15,2.87,19.51,0,1.15,0.57,0.57,0,1.15,0,0,2.3,41.31,0.57,1.15,9.18,289.2,1.15,2.87,2.87,0,0.57,5.16,0,0,1.15,0,0,84.35,0,0.57,2.87,0,3.44
 60-70,0,0,7.85,4.91,268.94,0.98,0.98,3.93,28.46,3.93,0.98,3.93,0,0,0.98,1.96,1.96,1.96,55.95,0,2.94,7.85,391.63,0,3.93,6.87,0,0.98,7.85,0,0,0.98,0,0,77.54,0,0.98,3.93,0,0.98
 72-82,2.94,0,7.85,22.58,216.95,1.96,0.98,2.94,52.03,1.96,0,3.93,2.94,3.93,2.94,1.96,0,0,91.29,0,1.96,10.8,342.6,1.96,0.98,3.93,0,0,7.85,0,0,0.98,0,0,61.84,0.98,2.94,6.87,0.98,1.96
 84-94,2.12,0,20.18,31.86,150.81,0,5.31,5.31,47.79,8.5,0,1.06,4.25,5.31,5.31,2.12,1.06,0,90.27,0,1.06,12.74,217.72,3.19,4.25,8.5,0,0,41.42,0,0,1.06,0,0,29.74,1.06,0,7.43,2.12,1.06
 96-106,1.09,0,12.02,37.16,171.58,2.19,5.46,3.28,60.11,4.37,0,3.28,7.65,2.19,3.28,4.37,3.28,1.09,92.89,1.09,6.56,10.93,191.25,2.19,7.65,12.02,0,3.28,33.88,0,0,1.09,0,0,21.86,3.28,1.09,16.39,7.65,2.19
108-118,0.77,0,14.55,26.04,139.41,3.83,6.89,6.13,52.85,6.89,0,0,9.19,2.3,5.36,4.6,4.6,1.53,76.6,3.06,1.53,6.13,261.96,2.3,3.06,6.13,0,3.06,19.92,0,0,1.53,1.53,0,17.62,0.77,0.77,7.66,2.3,3.83
120,0,0,29.4,29.4,127.39,3.92,7.84,3.92,60.75,5.88,0,1.96,9.8,1.96,5.88,0,3.92,1.96,70.55,0,5.88,13.72,256.73,5.88,0,3.92,0,0,50.95,0,0,0,0,0,11.76,1.96,1.96,3.92,1.96,1.96
