stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,59,0,4,1,0,0,0,3,1,1,1,38,0,0,0,0,0
 24-34,0,4.1,3.28,0,0,3.28,0,0,0,0.82,0,0,0,0,0,0,0,0,8.21,0,0,3.28,372.67,0,17.24,1.64,0,0,0,0,0.82,0,0,107.53,0,0,1.64,0,0
 36-46,0,0,2.42,0,0,14.5,0,0.81,0,2.42,0,0,0,0,0,0,0,0,11.28,0,1.61,4.03,920.88,0,29.81,1.61,0,0,0.81,0,0,0,0,186.92,0,0,1.61,0,0
 48-58,0,0,3.44,0,0,88.94,0.57,0,0.57,10.9,0,0,0,0,1.15,0,0,1.15,11.48,0,0.57,4.59,1281.31,0.57,18.94,0.57,0,0,2.3,0,0,0,0,206,0,0,0,0,1.72
 60-70,0,0,3.93,0,0,198.27,0.98,0.98,0,13.74,0.98,0,0.98,0,0,0,0,0,20.61,0,0,0.98,2066.1,0,20.61,0,0,0,0.98,0,0.98,0,0,274.83,0,0,0.98,0,0
 72-82,0,1.96,11.78,1.96,0,256.21,0,0,2.94,27.49,0,0.98,0,0,0.98,0,0.98,0.98,25.52,0,0.98,4.91,1704.16,0,30.43,0,0,1.96,3.93,0,0.98,0,0,158.05,0,0,2.94,0.98,3.93
 84-94,0,1.06,9.56,1.06,0,196.48,1.06,2.12,1.06,26.55,2.12,0,2.12,3.19,2.12,1.06,1.06,6.37,14.87,0,0,1.06,854.94,0,20.18,1.06,0,0,9.56,0,2.12,0,0,78.59,1.06,1.06,3.19,0,0
 96-106,0,0,12.02,7.65,0,138.79,0,0,2.19,26.23,3.28,1.09,0,0,1.09,0,1.09,2.19,22.95,0,1.09,1.09,763.9,0,42.62,0,0,0,3.28,0,0,0,0,39.34,1.09,0,4.37,2.19,0
108-118,0,0,9.19,3.06,0.77,110.3,0.77,1.53,0,26.04,0,0,0,3.06,0.77,0.77,0.77,4.6,15.32,1.53,0,0.77,850.22,0.77,23.74,0,0,0,1.53,0,0,0,0,35.23,1.53,0,0.77,0,0.77
120,0,0,25.48,1.96,0,125.43,0,0,0,17.64,3.92,0,3.92,5.88,1.96,1.96,0,3.92,19.6,0,0,3.92,1050.45,0,19.6,3.92,0,0,7.84,0,3.92,0,0,43.12,0,1.96,0,0,0
