stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,39.53,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,67.43,796.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,24.52,0,0,0,0,0,0
  7-9,2.63,7.89,7.89,0,0,21.03,0,0,7.89,0,0,0,0,0,0,0,0,218.18,15.77,0,0,92,0,0,0,0,2.63,0,0,0
 10-12,0,0,3.15,0,3.15,18.88,0,0,6.29,0,0,0,0,0,0,0,0,223.43,6.29,0,0,78.67,0,3.15,6.29,0,0,0,0,0
 14-21,1,0,2,24,3,16,0,2,0,0,0,0,0,0,11,0,2,147,8,1,1,5,0,19,1,14,0,6,53,3
 24-34,0,0,0,6.57,0.82,58.28,0,8.21,0,0,0.82,0.82,0,0,22.16,0,4.1,333.27,0,4.1,1.64,0,0,5.75,0,0,0,1.64,68.95,4.93
 36-46,0,0,0,1.61,0,173.22,0,6.45,0,0,0.81,0,0,0.81,15.31,0,5.64,242.51,0,1.61,2.42,0,0,2.42,0,0,0,0,43.51,3.22
 48-58,0,0,0,0.57,0,113.04,0.57,6.89,0,0.57,0,0,0,0,12.62,0,2.87,66.56,0,0,0.57,0,0,0,0,0,0,0,8.61,0
 60-70,0,0,0,0.98,0,137.41,0,5.89,0,0,0,0,0.98,0,16.69,1.96,1.96,60.85,0,0,0.98,0,0,0,0,0,0,0,1.96,0.98
 72-82,0,0,0,2.94,0,28.47,0,3.93,0,0.98,0,0,0,0,7.85,0.98,1.96,23.56,0,0,0.98,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,0,26.55,0,4.25,0,0,0,0,0,0,12.74,0,2.12,16.99,0,1.06,0,0,0,1.06,0,0,0,0,1.06,2.12
 96-106,0,0,0,1.09,0,16.39,0,1.09,0,0,0,0,0,0,9.84,0,0,19.67,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,13.02,0,3.06,0,0,0,0,0.77,0,3.06,1.53,0,16.85,0,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,3.92,1.96,17.64,0,7.84,0,1.96,0,0,0,0,3.92,0,0,27.44,0,0,0,0,1.96,0,0,0,0,0,0,0
