stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,98,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
 24-34,0,0,0,357.07,0,0,2.46,0,23.8,0,0,0,0,0,0,0.82,0.82,0.82,0,0,1.64,4.1,0,0.82,23.8,0,3.28,0,0,0,2.46,0,0,0,7.39,0,0,0,0,0
 36-46,0,0,0,348.85,0,0,6.45,0,98.29,0,0,0,0,0,0,0,0,0,0,0,5.64,5.64,0,2.42,39.48,0,4.03,0.81,0,0,2.42,0,0,0,8.06,0,0,0,0,0
 48-58,0,0,0,437.81,0,0,20.66,0,190.5,0.57,3.44,0,0.57,0,0,1.15,0.57,0.57,0,0.57,6.31,4.02,0.57,3.44,51.07,0.57,4.02,0,0,0,1.15,0,0.57,0,20.66,0,0,0.57,0,1.15
 60-70,0,0,0,658.6,0,0,49.08,0,204.16,1.96,9.82,0.98,0,0,0,0,0.98,2.94,0,0.98,18.65,7.85,0,0.98,80.48,0,15.7,0,0,0,1.96,0,0.98,0,11.78,1.96,0,0.98,0.98,3.93
 72-82,0,0.98,0,853.06,0,0,53.01,0,227.75,2.94,16.69,2.94,0,0,0,0.98,0,1.96,0,0,29.45,11.78,1.96,0,97.18,0,20.61,0.98,0,0,7.85,0,0,0,7.85,0.98,0,5.89,1.96,2.94
 84-94,1.06,0,0,1789.53,7.43,0,43.54,0,461.99,1.06,12.74,16.99,0,0,2.12,23.36,0,12.74,0,1.06,16.99,24.43,0,3.19,72.22,0,50.98,4.25,0,0,21.24,0,1.06,0,8.5,14.87,1.06,3.19,4.25,1.06
 96-106,0,0,1.09,2402.08,22.95,4.37,89.61,2.19,531.12,6.56,37.16,54.64,0,1.09,13.11,29.51,2.19,25.14,9.84,1.09,97.26,45.9,3.28,7.65,205.46,3.28,80.87,6.56,0,3.28,75.41,0,1.09,1.09,6.56,25.14,0,21.86,3.28,3.28
108-118,0.77,0.77,0,2535.34,9.19,5.36,74.3,0.77,736.09,4.6,44.43,89.62,0,0,5.36,48.26,2.3,15.32,4.6,2.3,76.6,22.98,2.3,12.26,204.51,0.77,50.55,3.83,0,1.53,32.17,0,4.6,3.83,5.36,45.19,2.3,11.49,3.83,6.89
120,3.92,0,0,1791.24,7.84,0,41.16,3.92,509.54,1.96,27.44,21.56,0,1.96,7.84,13.72,0,5.88,1.96,0,37.24,27.44,1.96,5.88,127.39,0,23.52,9.8,0,0,17.64,0,1.96,1.96,3.92,13.72,1.96,1.96,0,0
