stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,5,0,2,0,0,0,0,0,0,1,0,0,5,8,0,0,8,13,0,0,0,0,0,1,0,1,1,6,0,0,0,0,7
 24-34,0,0,0.82,0.82,0,1.64,0,2.46,0,0,0,0,0,0,1.64,0,0,3.28,17.24,0,0,8.21,53.36,0,0,0,0,0.82,0,0,0,0,14.78,0,0,0.82,0,32.83
 36-46,0,0,1.61,0,0,6.45,0,0,0,0,0.81,0,0,0.81,1.61,0,0,3.22,25.78,0,0,5.64,107.15,0.81,0.81,0,0,0,0,0,0,0,12.09,0,0,0,0,30.62
 48-58,0,0,0,0,0,16.64,0,0,5.74,1.15,0,0,0,0.57,0.57,0,0,0,34.43,0,0,11.48,128.53,0,1.15,0,0,0,0,0,1.15,0,6.31,0,0,0,0,31.56
 60-70,0,0,1.96,0,0,101.1,1.96,0,3.93,1.96,0,0,0,0.98,0.98,0,0,0.98,34.35,0,0,4.91,254.21,0,0,0,0,0,0,0,1.96,0,3.93,0,0,0,0,52.02
 72-82,0,0,3.93,3.93,0,245.42,1.96,0,5.89,9.82,0,0,0,0.98,2.94,0,0.98,1.96,40.25,0,0,9.82,398.55,0,0,0,0,1.96,0,0,0.98,0,3.93,0,0,1.96,0.98,87.37
 84-94,1.06,0,5.31,0,0,241.08,1.06,0,4.25,11.68,0,0,0,7.43,2.12,0,3.19,2.12,32.92,0,0,11.68,210.28,0,0,0,0,4.25,0,1.06,1.06,0,4.25,0,0,2.12,0,87.09
 96-106,0,0,5.46,2.19,0,263.38,8.74,0,2.19,14.21,3.28,1.09,2.19,1.09,3.28,0,8.74,9.84,24.04,1.09,1.09,6.56,194.53,0,1.09,0,0,1.09,0,0,2.19,0,0,0,1.09,1.09,2.19,161.74
108-118,0,0,4.6,0,1.53,234.38,8.43,0,6.13,13.02,0,0,1.53,6.13,2.3,0.77,5.36,12.26,19.92,0.77,0,6.89,238.98,0,0.77,3.06,0.77,1.53,0,0,2.3,0,0,1.53,0,2.3,0,199.92
120,0,0,9.8,1.96,0,115.63,0,1.96,1.96,3.92,0,0,0,9.8,1.96,0,1.96,11.76,13.72,0,0,5.88,243.01,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,84.27
