stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vasculature
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,2.63,0,0,42.06,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,25.18,0,0,0,3.15,0,0
 14-21,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,16,0,0,0,1,0,0,4,4,0,2
 24-34,0,0,0,0,0,0,0,4.93,0,0,0.82,0,0,0,0,0,0,0,1.64,0,2.46,24.63,0.82,0,0,0,0,2.46,0,3.28,0,0
 36-46,0,0,0,0,0,0,0,5.64,0,0.81,0,1.61,0,0,0,0,0,0,0.81,0.81,0.81,10.47,0,0.81,0,0,0,4.83,0,2.42,0,0.81
 48-58,0,0,0,0,0.57,0,0,10.33,0,0,0,1.15,0,0,0,0,0,0.57,6.31,0,0.57,8.03,0,0,0,0,0.57,0,0,2.3,0,0
 60-70,0,0,0,0,0.98,0,0,7.85,0.98,0,0,0.98,0,0,0,0,0,0,3.93,0,0.98,7.85,0,0,0.98,0,0,0.98,0,0.98,0,1.96
 72-82,0,0,0,0,1.96,1.96,0,5.89,0,0,0,6.87,0.98,0,0,0,0,0,8.83,0,0,8.83,1.96,0.98,0,0,0,1.96,0,1.96,0,0.98
 84-94,0,0,0,0,0,1.06,0,3.19,0,0,0,2.12,1.06,0,1.06,0,0,0,3.19,1.06,0,5.31,0,2.12,0,0,0,2.12,0,0,0,1.06
 96-106,0,0,0,0,2.19,1.09,0,9.84,0,0,0,3.28,0,1.09,0,1.09,0,0,6.56,0,1.09,7.65,0,2.19,0,0,0,2.19,0,0,0,1.09
108-118,0,0,1.53,0,0,1.53,0.77,4.6,0,0,0.77,0.77,0,0,0,0,0.77,0,6.89,0,0.77,8.43,0,0.77,0,0,0,1.53,0,0.77,0,0
120,0,0,0,0,1.96,3.92,0,3.92,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0,11.76,0,0,0,0,0,3.92,0,0,1.96,0
