stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,5,1,0,0,9,3,3,0,0,0
 24-34,0.82,0,1.64,0,0.82,0.82,0,0,0.82,0,0,2.46,0,0,1.64,0.82,0,18.06,0.82,0,0,20.52,0,2.46,0,0,0.82
 36-46,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,1.61,1.61,0.81,14.5,0,0,0,21.75,0,2.42,0,0,0
 48-58,0,0,0.57,0,1.15,0.57,0.57,0,1.15,0.57,1.15,0,0.57,0,1.72,2.87,0,17.79,0,0,0,29.84,0,2.87,0,0,0
 60-70,0,0,0,0,4.91,0,1.96,0,0,0.98,0.98,0.98,0,0,0.98,1.96,0,16.69,0,0,0,34.35,0,2.94,0,0,0
 72-82,0,0,3.93,0,4.91,0,0,0.98,0.98,0,2.94,3.93,0,0.98,0.98,1.96,1.96,10.8,0,0,0,16.69,0,1.96,0.98,0,1.96
 84-94,0,0,1.06,1.06,2.12,1.06,0,0,0,0,4.25,1.06,0,0,5.31,2.12,0,3.19,1.06,0,0,56.29,0,2.12,2.12,0,2.12
 96-106,0,0,13.11,0,2.19,3.28,1.09,4.37,0,0,2.19,2.19,0,1.09,1.09,0,0,7.65,0,0,0,41.53,0,0,1.09,0,1.09
108-118,0,0,6.89,0,3.83,0.77,0,0,0,0,2.3,2.3,0,0,2.3,0.77,0,10.72,0,0,0,25.28,0,0,0.77,0,0
120,0,0,9.8,0,0,1.96,1.96,1.96,0,0,5.88,0,0,1.96,3.92,1.96,0,5.88,0,1.96,1.96,90.15,0,0,0,1.96,0
