stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.96,2872.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,190.02,1869.54,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,5.26,0,0,15.77,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,165.61,2.63,0,0,78.86,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,88.12,3.15,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,22,3,11,1,0,7,0,0,0,0,1,0,0,0,18,0,0,22,162,21,2,1,5,0,11,0,15,1,17,65,0,0,2,0,0
 24-34,0,0,0,0,15.6,2.46,55,1.64,0,6.57,0.82,0,2.46,2.46,0,0,0,1.64,56.64,0.82,0.82,27.91,357.89,8.21,2.46,1.64,0,0,22.16,0,0,1.64,4.93,87.83,0,0,9.85,0,0.82
 36-46,0,0,0.81,0,4.83,2.42,94.26,0.81,0,9.67,0.81,0,1.61,0.81,0,3.22,0,0,66.87,0.81,2.42,34.64,246.53,3.22,4.03,0.81,0,0,13.7,0,0,0,0,70.9,0,0,8.86,0,2.42
 48-58,0,0,0,0,6.31,1.72,127.38,1.72,1.72,11.48,1.15,0,2.3,0,0,0.57,1.15,1.15,77.46,0.57,1.72,14.92,107.3,2.3,1.15,1.15,0,0.57,2.3,0,0,0,0,21.8,0,0,2.3,0,0
 60-70,0,0,0,0,11.78,0,115.82,0,0.98,21.59,2.94,0,0,0.98,0.98,0,1.96,0,83.43,0,5.89,10.8,73.61,0,1.96,0.98,0,0,1.96,0,0,0,0,6.87,0,0,3.93,0,0
 72-82,0,0,0.98,0,7.85,0,89.33,0,3.93,19.63,7.85,0,0,0.98,0,1.96,0.98,0.98,65.77,0,5.89,8.83,62.83,1.96,1.96,1.96,0,0,5.89,0,0,0.98,0,3.93,0,0,6.87,0,0
 84-94,0,0,0,0,10.62,1.06,101.96,0,0,10.62,8.5,0,0,0,3.19,1.06,0,1.06,74.34,0,3.19,8.5,52.04,3.19,1.06,7.43,0,0,6.37,0,0,1.06,0,1.06,1.06,1.06,6.37,1.06,0
 96-106,0,0,0,0,4.37,0,54.64,1.09,0,13.11,7.65,0,1.09,3.28,0,0,0,0,43.71,0,1.09,5.46,38.25,1.09,3.28,4.37,0,1.09,5.46,0,0,2.19,0,1.09,0,0,7.65,2.19,1.09
108-118,0,0,0,0,7.66,1.53,42.89,0,0,17.62,3.06,0,1.53,4.6,0,0.77,0,0,35.23,0,2.3,3.06,55.92,0,3.06,0,0,0,3.83,0,0,0.77,0,0.77,0.77,0.77,3.06,0,1.53
120,0,0,0,0,5.88,1.96,37.24,0,0,21.56,5.88,0,0,5.88,0,0,0,0,35.28,0,0,17.64,52.91,0,0,3.92,0,0,3.92,0,0,0,0,5.88,0,0,1.96,0,0
