stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,31.54,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,0,0.82,0,0,0,0,0.82,0,0,2.46,0,0,0,5.75,0.82,0,0,0,0,0.82,0,0,1.64,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,0,0.81,0,0,0,0,0,0,0,4.83,0,0,2.42,7.25,0,0,0,0,0,0,0,0.81,0,3.22,0,0,0.81,0,0.81
 48-58,0,0,0,0,0.57,0,3.44,0.57,0,0,2.3,0,0,0,0,0,0,0,3.44,0,0,0,10.9,0,0,0,0,0,0.57,0,0,0,4.59,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,3.93,0,0,0,2.94,0,0,0,2.94,0,0,0,7.85,0,0,0.98,6.87,0,1.96,0.98,0,0,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0.98,1.96,0,0,0,3.93,0,0,0,1.96,0,0,0,14.72,0,0,0.98,7.85,0,0,0.98,0,0,0,0,0,0,0.98,0,0,1.96,0.98,0
 84-94,0,0,0,0,0,0,6.37,0,0,1.06,4.25,0,0,1.06,2.12,2.12,0,1.06,4.25,0,1.06,0,8.5,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.28,1.09,1.09,0,1.09,0,4.37,1.09,0,1.09,0,0,0,0,9.84,0,1.09,1.09,2.19,0,0,1.09,0,0,5.46,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,1.53,0,1.53,0.77,1.53,0,0,0,2.3,0,1.53,0,11.49,0.77,0,0,3.83,0,0,0.77,0,1.53,6.13,0,0,0,0,0.77,0,0,0,0.77
120,0,0,0,0,3.92,0,0,0,3.92,0,1.96,1.96,0,0,1.96,0,0,0,1.96,0,0,1.96,3.92,0,0,1.96,0,0,0,0,0,0,1.96,0,1.96,0,0,0
