stage,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,slow_muscle,somites,spinal_cord
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,7,0,0,0,24,11,0
 24-34,0,0,0,0,0.82,0.82,0,0,0,1.64,35.3,0,0,1.64,9.03,26.27,0.82
 36-46,0,0,0,0,0,0.81,0,0,0,0,31.42,0.81,0,0,0.81,0,1.61
 48-58,0,0,0,0.57,0,3.44,0,0,0,0,22.38,0,0,1.72,0.57,0,6.31
 60-70,0,0,0,0,0,16.69,1.96,0,0,0,14.72,0,0,0,0.98,0,6.87
 72-82,0,0,0,3.93,0,34.36,0,0,1.96,0,14.72,0,0,0.98,0,0,1.96
 84-94,0,0,0,2.12,5.31,15.93,1.06,0,1.06,0,9.56,0,1.06,2.12,1.06,0,5.31
 96-106,0,1.09,0,0,2.19,18.58,0,0,4.37,1.09,7.65,0,0,1.09,0,0,3.28
108-118,0,0,0.77,3.06,1.53,16.85,0,0,0.77,0.77,13.02,0,0,1.53,2.3,0,3.06
120,0,0,0,1.96,0,21.56,1.96,1.96,0,0,21.56,0,0,0,0,0,3.92
