stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,68.35,0,0,2.63,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,28.92,13.14,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.03,0,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.91,47.2,0,0,72.38,0,0,0,0,18.88,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,1,2,277,15,0,55,0,4,0,10,9,0,2,0,0,1,5,0,0,69,0,0,34,177,95,3,21,12,0,8,1,5,60,18,12,61,0,0,4,0,0
 24-34,0,0,0,0.82,132.98,2.46,0,177.3,0,11.49,4.1,25.45,3.28,0,4.93,0,3.28,7.39,41.86,0.82,0.82,179.77,2.46,0.82,35.3,539.3,11.49,13.95,64.85,0,0.82,27.91,0,0,17.24,12.31,5.75,155.14,0,0,27.91,0,0
 36-46,0,0,0,0,99.1,0.81,0,105.54,0,22.56,13.7,21.75,2.42,0,6.45,0.81,1.61,7.25,21.75,2.42,0.81,207.06,1.61,17.72,31.42,298.1,8.86,11.28,40.28,0,0.81,53.17,0,0,8.06,7.25,0,112.79,0,0.81,20.95,0.81,0
 48-58,0.57,0,0,0,52.79,1.15,0,82.05,1.72,17.21,12.62,40.74,2.87,0,5.74,0,0.57,7.46,20.66,2.3,0,238.13,0.57,21.8,36.72,174.44,1.72,5.16,30.41,0,6.31,28.12,1.15,0,8.61,3.44,0,62.54,0,4.59,12.05,0,1.72
 60-70,0,0,0,0,72.63,0,0,72.63,1.96,27.48,20.61,80.48,3.93,0,5.89,0.98,1.96,11.78,21.59,4.91,0,280.72,2.94,15.7,22.58,134.47,4.91,2.94,33.37,0,6.87,49.08,0,0,5.89,6.87,0,28.46,0.98,8.83,18.65,5.89,0.98
 72-82,0,0,2.94,0,82.46,0,0,73.62,0,17.67,20.61,112.89,4.91,0,7.85,2.94,0.98,4.91,32.39,1.96,0.98,366.16,1.96,25.52,33.38,118.78,1.96,1.96,54.97,0,10.8,32.39,0,0,5.89,0.98,0,19.63,1.96,23.56,42.21,16.69,0.98
 84-94,0,0,0,0,150.81,0,1.06,92.4,0,33.99,11.68,84.96,4.25,0,2.12,8.5,3.19,10.62,33.99,7.43,0,254.89,2.12,14.87,21.24,80.71,0,8.5,50.98,0,7.43,110.45,0,0,23.36,1.06,0,10.62,4.25,12.74,37.17,6.37,1.06
 96-106,0,0,0,0,161.74,1.09,4.37,62.29,2.19,29.51,9.84,86.33,16.39,0,5.46,10.93,4.37,14.21,45.9,5.46,0,246.98,6.56,16.39,21.86,72.13,1.09,12.02,54.64,0,6.56,106.01,0,0,10.93,1.09,0,4.37,9.84,16.39,51.36,5.46,2.19
108-118,0,0,0,0,201.45,0.77,1.53,51.32,0.77,34.47,9.19,65.87,17.62,0,3.06,2.3,7.66,13.02,29.87,5.36,0,224.43,3.06,15.32,26.81,79.66,3.83,3.06,64.34,0,12.26,100.34,0,0,16.85,2.3,0,7.66,13.79,7.66,37.53,6.13,0.77
120,3.92,0,0,0,194.02,0,0,43.12,0,35.28,15.68,80.35,15.68,1.96,0,5.88,5.88,7.84,19.6,3.92,0,199.9,1.96,7.84,21.56,70.55,7.84,7.84,50.95,0,5.88,72.51,1.96,0,11.76,1.96,0,5.88,1.96,17.64,41.16,3.92,0
