stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,hatching_gland,iridophores,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1
 24-34,0,0,0,0,0,0,0,0,9.03,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,12.89,0.81,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,0,0,3.44,0,0,0,0,1.72,0
 60-70,0,0,0,0,0,0.98,0,0,11.78,0,0,0,0,0.98,0
 72-82,0,0,0.98,4.91,0,0,0,0,9.82,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,0,1.06,0,1.06,11.68,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,5.46,0,1.09,0,0,0,0
108-118,0,0,0,1.53,0.77,1.53,0,0,5.36,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,0
