stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,spinal_cord
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,39.43,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,6.29,0,6.29,0,0,0
 14-21,0,0,1,44,2,1,0,0,1,1,1,0,19,0,5,10,0,1,1,0,1,0,3
 24-34,0,0,0,8.21,0,0.82,0.82,0,0,0,0,0,13.95,0,2.46,9.85,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,6.45,2.42,0.81,4.83,0,0,0,0,0,0,1.61
 48-58,0,0,0,0,0,0.57,0,0,0.57,0,0,0,1.15,0.57,0,3.44,0,0,0,0,0,0.57,0.57
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0.98,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,1.06,0,1.06,1.06,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,2.19,0,0,0,0,0,0,0,0,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
