stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,30.65,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,7.89,7.89,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,1,1,4,0,1,4,0,0,0
 24-34,0,0,0.82,0.82,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,4.1,0,0,1.64,26.27,0,0,0,0,2.46,0,0,10.67,0,0.82,0
 36-46,0,0,0,0,0,0,4.03,0,0,0.81,0,0,0,0,0,0,0,0,6.45,0,0.81,0,23.36,0,0,0,0,1.61,0,0,6.45,0,0.81,0
 48-58,0,0,0,0,0,0,2.87,0,0,2.87,0,0,0,0,0,0,0,0,2.3,0,0,1.15,20.08,0,0,1.72,0,0,0.57,0,6.89,0,0.57,0
 60-70,0,0,0,0.98,0,0,11.78,0.98,0,2.94,0,0,0,0,0,0,0,0.98,6.87,0,0,0.98,34.35,0,0,0.98,0,1.96,0,0,3.93,0,0.98,0
 72-82,0,0,0,0.98,0.98,0,13.74,0.98,2.94,0.98,0.98,0,0,0,0,0,0,0,3.93,0,0,0,44.17,0,0.98,0.98,0,0,0.98,0,0.98,0,0,0
 84-94,0,0,0,0,0,0,11.68,0,0,3.19,0,0,0,0,0,0,0,0,3.19,1.06,0,0,9.56,0,0,1.06,0,0,0,0,3.19,0,0,0
 96-106,0,0,0,1.09,0,0,2.19,1.09,0,4.37,0,0,0,2.19,0,0,1.09,0,2.19,0,0,0,13.11,0,0,1.09,0,2.19,0,0,1.09,1.09,0,0
108-118,0,0,0,0.77,0,0.77,8.43,0,0,0.77,0.77,0,0,0.77,0.77,0.77,0,0,2.3,0,0.77,0,6.13,0,0,0,0,0,0,0,0.77,0,0.77,0.77
120,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,0,1.96,0,0,0,1.96,0
