stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,49.95,5.26,0,0,23.66,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,31.47,0,0,0,15.73,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,182.52,3.15,0,0,50.35,0,15.73,0,3.15,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,17,247,3,0,8,0,0,0,3,7,3,0,0,3,0,1,0,11,3,0,7,63,1,1,3,0,0,433,3,5,2,16,16,0,0,0,0,0
 24-34,0,0,0,7.39,79.62,0.82,0,15.6,0,2.46,0,0.82,5.75,0.82,0,0,3.28,0,4.1,1.64,16.42,9.85,0,11.49,87.01,0,9.85,4.1,0,0,922.64,0,0,3.28,3.28,19.7,0,0,4.1,0,0
 36-46,0,0,0,0,24.17,0,0,8.06,0,7.25,0.81,4.03,5.64,0,0,0,1.61,0,2.42,1.61,31.42,10.47,0,15.31,45.12,1.61,8.06,5.64,0,0,931.35,0,0,3.22,0,8.06,0,0,1.61,0,0
 48-58,0,0,0,0.57,37.87,0,0,27.54,0.57,15.49,1.15,5.16,15.49,0,0,0.57,2.87,0,5.16,3.44,52.79,12.62,0,9.18,53.94,0,5.74,6.89,0,0,989.24,0,0,3.44,0,12.05,0,0,1.15,0,0
 60-70,0,0,0,0,63.8,0.98,0,34.35,0,24.54,0.98,1.96,46.13,0,0,0,4.91,0,2.94,9.82,58.89,7.85,0.98,5.89,45.15,0,3.93,4.91,0,0.98,795.03,0.98,0,7.85,0,3.93,0,0,0.98,0.98,2.94
 72-82,0,0,5.89,0.98,143.32,1.96,0.98,53.01,0.98,20.61,4.91,12.76,159.03,0,1.96,4.91,15.71,0,7.85,30.43,110.93,9.82,1.96,12.76,70.68,0,11.78,17.67,0,0,900.18,0,0,8.83,0,5.89,6.87,2.94,8.83,1.96,1.96
 84-94,0,0,3.19,0,282.5,1.06,1.06,44.61,0,84.96,4.25,9.56,299.49,0,1.06,5.31,52.04,0,8.5,63.72,80.71,25.49,2.12,7.43,54.16,0,26.55,20.18,0,0,2621.11,0,0,21.24,0,2.12,28.68,5.31,5.31,4.25,1.06
 96-106,0,0,5.46,1.09,471.02,6.56,2.19,69.94,0,92.89,1.09,18.58,415.28,0,3.28,6.56,68.85,2.19,22.95,72.13,86.33,37.16,3.28,10.93,140.98,2.19,50.27,29.51,0,0,2386.78,0,0,19.67,0,1.09,42.62,4.37,7.65,2.19,5.46
108-118,0,0,3.83,0,422.05,5.36,2.3,78.89,0.77,135.58,1.53,13.79,426.64,0,0.77,7.66,75.83,0,19.92,78.89,76.6,39.83,3.83,10.72,113.36,1.53,25.28,29.87,0,0.77,2207.51,0,0,14.55,0,1.53,56.68,1.53,8.43,3.06,3.06
120,1.96,0,5.88,0,241.05,5.88,0,41.16,0,84.27,1.96,3.92,213.62,0,1.96,5.88,21.56,1.96,9.8,47.03,58.79,17.64,1.96,9.8,92.11,0,11.76,15.68,0,1.96,1083.76,1.96,0,13.72,0,5.88,17.64,0,0,3.92,1.96
